ln(t/ts),H:119.98
-48.98764543891821,-2.394226629729648
-16.56387863242803,-2.2188907981225428
-15.870731451868089,-2.078858782074588
-15.465266343759925,-1.9605918180975226
-15.177584271308145,-1.8576258260019507
-14.954440719993936,-1.7661875660230497
-14.772119163199982,-1.6838199014242479
-14.617968483372724,-1.6088100273277572
-14.484437090748202,-1.5399063559956843
-14.366654055091818,-1.47616170603555
-14.261293539433991,-1.4168394310910686
-14.165983359629667,-1.361353896485526
-14.078971982640038,-1.30923100792943
-13.998929274966502,-1.2600810764130348
-13.924821302812779,-1.2135795993862033
-13.855828431325827,-1.1694533020658548
-13.791289910188256,-1.1274697781540124
-13.730665288371823,-1.0874296564577621
-13.673506874531872,-1.0491605793953975
-13.619439653261598,-1.012512506554678
-13.568146358874047,-0.9773540040791144
-13.519356194704615,-0.9435692788510393
-13.472836179069722,-0.9110557832559862
-13.428384416498888,-0.8797222625513113
-13.385824802080093,-0.8494871495123137
-13.345002807559837,-0.82027723438746
-13.305782094406556,-0.7920265551765343
-13.268041766423709,-0.7646754657575806
-13.231674122252834,-0.7381698487080877
-13.196582802441563,-0.712460446699906
-13.162681250765882,-0.6875022917234646
-13.129891427942892,-0.6632542154991174
-13.09814272962831,-0.639678427675245
-13.067371070961558,-0.6167401509017578
-13.037518107811877,-0.5944073038734567
-13.008530570938625,-0.5726502250109787
-12.980359693971929,-0.5514414307149234
-12.952960719783814,-0.5307554031710319
-12.926292472701652,-0.5105684034762427
-12.900316986298392,-0.49085830658065505
-12.874999178314102,-0.4716044550627776
-12.85030656572373,-0.45278752922425136
-12.82620901414467,-0.4343894313776635
-12.802678516734476,-0.41639318250282337
-12.779688998509776,-0.3987828297282654
-12.757216142657718,-0.3815433632943087
-12.735237235938943,-0.36466064186664204
-12.71373103071798,-0.3481213251955279
-12.692677621520147,-0.3319128132863939
-12.672058334317411,-0.3160231913165558
-12.651855626999891,-0.30044117967532447
-12.632052999703712,-0.28515608855162267
-12.61263491384661,-0.2701577765753431
-12.593586718875915,-0.255436613097786
-12.574894585863763,-0.24098344371156202
-12.556545447195568,-0.2267895586895458
-12.538526941692888,-0.21284666405233119
-12.520827364593488,-0.19914685498792786
-12.50343562188162,-0.18568259141002877
-12.486341188522319,-0.1724466754432778
-12.469534070205937,-0.15943223065334214
-12.453004768254727,-0.14663268285843423
-12.436744247382947,-0.13404174238750155
-12.420743906036506,-0.12165338763485398
-12.404995549068365,-0.10946184982399347
-12.3894913625324,-0.09746159884889927
-12.374223890401613,-0.08564733011816741
-12.359186013037071,-0.07401395230762561
-12.344370927251932,-0.06255657595119725
-12.329772127830779,-0.05127050279666341
-12.31538339037868,-0.04015121586904361
-12.301198755386723,-0.02919437018096774
-12.287212513411983,-0.018395784042269485
-12.273419191279647,-0.007751430921790158
-12.259813539223869,0.0027425681846802636
-12.246390518891728,0.013089951910504796
-12.233145292141707,0.023294325243256354
-12.220073210574354,0.033359165842704146
-12.207169805738447,0.04328782998400764
-12.194430779961017,0.05308355815384254
-12.181851997754157,0.06274948032334364
-12.1694294777556,0.07228862092130305
-12.157159385163785,0.08170390352311546
-12.14503802463144,0.09099815528225749
-12.133061833584724,0.10017411111671191
