Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
300.49602079533696,0.40389250106900126,231.9296808021925,0.05369801597562823,18.312630312002504,18.320083755764923
301.503979204663,0.40389250106900126,231.9296808021925,0.05369801597562823,18.312630312002504,18.320083755764923
301.503979204663,0.40389250106900126,231.9296808021925,0.05369801597562823,18.312630312002504,18.320083755764923
301.503979204663,0.4052472838772352,-43237.66508,-10.010692991876676,18.858562375325597,17.469048519326176
659.8728843799548,0.4052472838772352,-43237.66508,-10.010692991876676,18.858562375325597,17.469048519326176
659.8728843799548,0.4052472838772352,-43237.66508,-10.010692991876676,18.858562375325597,17.469048519326176
659.8728843799548,0.8869259198655307,231.9296808021925,0.05369801597562823,18.313299986746056,18.320753430508475
662.1271156200452,0.8869259198655307,231.9296808021925,0.05369801597562823,18.313299986746056,18.320753430508475
662.1271156200452,0.8869259198655307,231.9296808021925,0.05369801597562823,18.313299986746056,18.320753430508475
662.1271156200452,0.8899558005645768,85842.90087,19.874961438173784,18.207932160204127,20.96663571131758
744.0,0.8899558005645768,85842.90087,19.874961438173784,18.207932160204127,20.96663571131758
744.0,0.8899558005645768,85842.90087,19.874961438173784,18.207932160204127,20.96663571131758
744.0,1.0,231.9296808021925,0.05369801597562823,18.336150409946114,18.343603853708533
804.4711150461904,1.0,231.9296808021925,0.05369801597562823,18.336150409946114,18.343603853708533
804.4711150461904,1.0,231.9296808021925,0.05369801597562823,18.336150409946114,18.343603853708533
804.4711150461904,1.0899867783425452,8074.762956333218,1.869526783846172,18.62067640532461,18.880172263645733
805.5288849538096,1.0899867783425452,8074.762956333218,1.869526783846172,18.62067640532461,18.880172263645733
805.5288849538096,1.0899867783425452,8074.762956333218,1.869526783846172,18.62067640532461,18.880172263645733
805.5288849538096,1.0915608407050736,-91398.52963,-21.161240283025794,19.805680875857952,16.86843800892979
828.4983056948686,1.0915608407050736,-91398.52963,-21.161240283025794,19.805680875857952,16.86843800892979
828.4983056948686,1.0915608407050736,-91398.52963,-21.161240283025794,19.805680875857952,16.86843800892979
828.4983056948686,1.1257415263316497,8074.762956333218,1.869526783846172,18.59740809184444,18.856903950165563
829.5016943051314,1.1257415263316497,8074.762956333218,1.869526783846172,18.59740809184444,18.856903950165563
829.5016943051314,1.1257415263316497,8074.762956333218,1.869526783846172,18.59740809184444,18.856903950165563
829.5016943051314,1.1272346641445408,281444.6821,65.16208267690826,15.1502552772581,24.194945473912515
1416.0,1.1272346641445408,281444.6821,65.16208267690826,15.1502552772581,24.194945473912515
1416.0,1.1272346641445408,281444.6821,65.16208267690826,15.1502552772581,24.194945473912515
1416.0,2.0,8074.762956333218,1.869526783846172,18.810924544646234,19.070420402967358
1788.4825337789941,2.0,8074.762956333218,1.869526783846172,18.810924544646234,19.070420402967358
1788.4825337789941,2.0,8074.762956333218,1.869526783846172,18.810924544646234,19.070420402967358
1788.4825337789941,2.50064856690725,19621.097720811937,4.54281666420317,19.507001243040904,20.137557659594442
1789.5174662210059,2.50064856690725,19621.097720811937,4.54281666420317,19.507001243040904,20.137557659594442
1789.5174662210059,2.50064856690725,19621.097720811937,4.54281666420317,19.507001243040904,20.137557659594442
1789.5174662210059,2.5020396051357605,-17634.97898,-4.082976269887387,19.961885890960396,19.395156683968523
2004.210085557162,2.5020396051357605,-17634.97898,-4.082976269887387,19.961885890960396,19.395156683968523
2004.210085557162,2.5020396051357605,-17634.97898,-4.082976269887387,19.961885890960396,19.395156683968523
2004.210085557162,2.790604953705863,19621.097720811937,4.54281666420317,19.578948671421635,20.209505087975174
2005.7899144428377,2.790604953705863,19621.097720811937,4.54281666420317,19.578948671421635,20.209505087975174
2005.7899144428377,2.790604953705863,19621.097720811937,4.54281666420317,19.578948671421635,20.209505087975174
2005.7899144428377,2.7927283796274702,288297.5673,66.748711596829,17.8880309774453,27.152949970482574
2160.0,2.7927283796274702,288297.5673,66.748711596829,17.8880309774453,27.152949970482574
2160.0,2.7927283796274702,288297.5673,66.748711596829,17.8880309774453,27.152949970482574
2160.0,3.0,19621.097720811937,4.54281666420317,19.64627938575085,20.27683580230439
2172.5,3.0,19621.097720811937,4.54281666420317,19.64627938575085,20.27683580230439
2172.5,3.0,19621.097720811937,4.54281666420317,19.64627938575085,20.27683580230439
2172.5,3.017361111111111,31060.156235983937,7.1912691812302425,19.888519134358795,20.886688609503974
