Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,10,15,230,0.0
1,10,16,231,0.0
1,10,17,232,0.0
1,10,18,233,0.0
1,10,19,234,0.0
1,10,20,235,0.0
1,10,21,236,0.0
1,10,22,237,0.0
1,10,23,238,0.0
1,10,24,239,0.0
1,11,1,240,0.0
1,11,2,241,0.0
1,11,3,242,0.0
1,11,4,243,0.0
1,11,5,244,0.0
1,11,6,245,0.0
1,11,7,246,0.0
1,11,8,247,0.0
1,11,9,248,0.0
1,11,10,249,0.0
1,11,11,250,0.0
1,11,12,251,0.0
1,11,13,252,0.0
1,11,14,253,0.0
1,11,15,254,0.0
1,11,16,255,0.0
1,11,17,256,0.0
1,11,18,257,0.0
1,11,19,258,0.0
1,11,20,259,0.0
1,11,21,260,0.0
1,11,22,261,0.0
1,11,23,262,0.0
1,11,24,263,0.0
1,12,1,264,0.0
1,12,2,265,0.0
1,12,3,266,0.0
1,12,4,267,0.0
1,12,5,268,0.0
1,12,6,269,0.0
1,12,7,270,0.0
1,12,8,271,0.0
1,12,9,272,0.0
1,12,10,273,0.0
1,12,11,274,0.0
1,12,12,275,0.0
1,12,13,276,0.0
1,12,14,277,0.0
1,12,15,278,0.0
1,12,16,279,0.0
1,12,17,280,0.0
1,12,18,281,-27937.76009
1,12,19,282,-3680.242314
1,12,20,283,-20301.90288
1,12,21,284,-34364.31308
1,12,22,285,-8846.876109
1,12,23,286,0.0
1,12,24,287,0.0
1,13,1,288,0.0
1,13,2,289,0.0
1,13,3,290,0.0
1,13,4,291,0.0
1,13,5,292,0.0
1,13,6,293,0.0
1,13,7,294,14357.78697
1,13,8,295,3130.467252
1,13,9,296,-3782.605867
1,13,10,297,4422.931532
1,13,11,298,-2241.023443
1,13,12,299,-12194.40729
1,13,13,300,930.853078
1,13,14,301,417.6349231
1,13,15,302,-9667.366091
1,13,16,303,3250.634104
1,13,17,304,-10061.73046
1,13,18,305,-8470.003093
1,13,19,306,-4773.037948
