L,o,a,d, ,M,u,l,t,i,p,l,i,e,r
F,i,e,l,d
F,i,e,l,d, ,D,e,p,t,h
E,x,c,e,s,s, ,T,e,m,p,e,r,a,t,u,r,e
0.01,N/A,73.07080520286303,5.743565623106406e-09
1.009,6X7,360.928177134613,9.351780263955334e-06
2.008,10X11,365.616125847441,-4.358582273766842e-06
3.007,13X14,381.29459976556905,-1.2489906922041882e-06
4.006,16X17,365.41375559461835,6.878862983228373e-06
5.005,19X19,362.5073380423145,6.91858510037946e-07
6.004,21X21,371.2186857438499,3.037926589399831e-06
7.002999999999999,23X23,373.04228917297957,5.353685857301116e-06
8.001999999999999,25X25,366.7102198000433,2.1074722411640323e-06
9.001,26X27,375.25784966615805,3.487909900456998e-06
