Time [hr],building1_htg_clg:EFT [C],building1_htg_clg:ExFT [C],building1_htg_clg:Q_htg [W],building1_htg_clg:Q_clg [W],building1_htg_clg:Q_net [W],building1_htg_clg:M_flow [kg/s],building1_htg_clg:P_hp_htg [W],building1_htg_clg:P_hp_clg [W],building1_htg_clg:P_hp_tot [W],building1_htg_clg:P_pump [W],building1_htg_clg:Q_src_clg [W],building1_htg_clg:Q_src_htg [W],building1_htg_clg:Q_src_het [W],building2_htg_clg:EFT [C],building2_htg_clg:ExFT [C],building2_htg_clg:Q_htg [W],building2_htg_clg:Q_clg [W],building2_htg_clg:Q_net [W],building2_htg_clg:M_flow [kg/s],building2_htg_clg:P_hp_htg [W],building2_htg_clg:P_hp_clg [W],building2_htg_clg:P_hp_tot [W],building2_htg_clg:P_pump [W],building2_htg_clg:Q_src_clg [W],building2_htg_clg:Q_src_htg [W],building2_htg_clg:Q_src_het [W],ghe1:EFT [C],ghe1:ExFT [C],ghe1:MFT [C],ghe1:Q [W/m],ghe1:Q_tot [W],hp_pir1:EFT [C],hp_pir1:ExFT [C],hp_pir1:MFT [C],hp_pir1:Q [W/m],hp_pir1:M_flow [kg/s],hp_pir2:EFT [C],hp_pir2:ExFT [C],hp_pir2:MFT [C],hp_pir2:Q [W/m],hp_pir2:M_flow [kg/s],hp_pir3:EFT [C],hp_pir3:ExFT [C],hp_pir3:MFT [C],hp_pir3:Q [W/m],hp_pir3:M_flow [kg/s],hp_por1:EFT [C],hp_por1:ExFT [C],hp_por1:MFT [C],hp_por1:Q [W/m],hp_por1:M_flow [kg/s],hp_por2:EFT [C],hp_por2:ExFT [C],hp_por2:MFT [C],hp_por2:Q [W/m],hp_por2:M_flow [kg/s],hp_por3:EFT [C],hp_por3:ExFT [C],hp_por3:MFT [C],hp_por3:Q [W/m],hp_por3:M_flow [kg/s],Network:M_flow [kg/s],Network:P_pump [W],Network:Q_net_bldg [W],Network:Q_net_ghe [W]
11.0000,14.5959,13.6853,65947.8000,30421.4000,35526.4000,4.8467,13403.7285,5100.1961,18503.9245,236.7072,35521.5961,52544.0715,17022.4755,14.6724,10.8899,31238.5000,20.6000,31217.9000,1.7031,6367.5554,3.4096,6370.9649,83.1771,24.0096,24870.9446,24846.9351,12.6925,14.8856,13.7891,-0.8208,-55404.0911,14.6724,14.1139,14.3931,23.8918,-1.0479,14.8856,14.6724,14.7790,24.5266,-2.7510,14.8856,14.7289,14.8073,24.7709,3.7989,13.6853,12.9833,13.3343,22.2047,1.0479,11.6873,11.5942,11.6407,6.5525,2.7510,13.6853,13.4879,13.5866,23.8558,-3.7989,0.1000,7.8141,66744.3000,-55404.0911
12.0000,14.5183,13.8206,63888.9000,32433.4000,31455.5000,4.8406,13001.4563,5427.3576,18428.8139,236.4066,37860.7576,50887.4437,13026.6861,14.5934,11.5912,34417.5000,3165.7000,31251.8000,2.0471,7023.9526,523.3326,7547.2853,99.9782,3689.0326,27393.5474,23704.5147,12.8974,14.7811,13.8393,-0.7414,-50042.9112,14.5934,14.0161,14.3048,22.5003,-0.9312,14.7811,14.5934,14.6873,23.4017,-2.9783,14.7811,14.6379,14.7095,23.5542,3.9094,13.8206,13.1258,13.4732,22.1730,0.9312,12.0710,11.9190,11.9950,10.3724,2.9783,13.8206,13.6428,13.7317,23.9061,-3.9094,0.1000,7.8141,62707.3000,-50042.9112
13.0000,14.3346,13.8710,61507.6000,34571.6000,26936.0000,4.8225,12553.9528,5759.7231,18313.6759,235.5230,40331.3231,48953.6472,8622.3241,14.4016,13.0497,29489.3000,10434.2000,19055.1000,2.1670,6035.7963,1719.9312,7755.7275,105.8347,12154.1312,23453.5037,11299.3725,13.2952,14.5420,13.9186,-0.4980,-33612.1716,14.4016,13.8946,14.1481,20.4427,-0.8852,14.5420,14.4016,14.4718,20.8383,-3.0522,14.5420,14.4335,14.4877,20.9151,3.9373,13.8710,13.2014,13.5362,21.5978,0.8852,13.0937,12.7599,12.9268,20.6562,3.0522,13.8710,13.7101,13.7906,23.2494,-3.9373,0.1000,7.8141,45991.1000,-33612.1716
14.0000,14.1913,14.0495,57989.1000,37317.1000,20672.0000,4.7785,11863.2805,6195.8914,18059.1719,233.3751,43512.9914,46125.8195,2612.8281,14.2536,13.5981,25687.1000,12977.0000,12710.1000,2.0988,5269.4971,2134.3612,7403.8583,102.5013,15111.3612,20417.6029,5306.2417,13.5898,14.3964,13.9931,-0.3169,-21393.6747,14.2536,13.7801,14.0169,18.9383,-0.8932,14.3964,14.2536,14.3250,19.4077,-2.9920,14.3964,14.2858,14.3411,19.4967,3.8853,14.0495,13.3159,13.6827,22.3433,0.8932,13.5139,13.2317,13.3728,23.6367,2.9920,14.0495,13.8656,13.9576,24.2211,-3.8853,0.1000,7.8141,33382.1000,-21393.6747
15.0000,14.1526,14.3121,54998.6000,40027.0000,14971.6000,4.7572,11258.5522,6639.7028,17898.2550,232.3331,46666.7028,43740.0478,-2926.6550,14.2107,12.9544,19870.3000,7382.3000,12488.0000,1.4850,4078.9202,1213.4134,5292.3336,72.5255,8595.7134,15791.3798,7195.6664,13.6756,14.4041,14.0398,-0.2598,-17539.2692,14.2107,13.7747,13.9927,18.8235,-1.0907,14.4041,14.2107,14.3074,19.5674,-2.5757,14.4041,14.2650,14.3346,19.7934,3.6665,14.3121,13.5979,13.9550,24.5986,1.0907,13.2269,13.0814,13.1541,18.8294,2.5757,14.3121,14.0930,14.2026,26.0827,-3.6665,0.1000,7.8141,27459.6000,-17539.2692
16.0000,14.2350,14.5219,53441.4000,40937.1000,12504.3000,4.7206,10925.1907,6804.0162,17729.2069,230.5443,47741.1162,42516.2093,-5224.9069,14.2922,11.1218,21631.0000,1453.8000,20177.2000,1.2678,4434.7988,239.2473,4674.0461,61.9182,1693.0473,17196.2012,15503.1539,13.5554,14.5412,14.0483,-0.3373,-22769.9321,14.2922,13.8210,14.0566,19.6368,-1.1509,14.5412,14.2922,14.4167,21.0476,-2.4187,14.5412,14.3684,14.4548,21.3843,3.5696,14.5219,13.8350,14.1784,26.0249,1.1509,12.4128,12.4657,12.4392,9.3731,2.4187,14.5219,14.2938,14.4079,27.3030,-3.5696,0.1000,7.8141,32681.5000,-22769.9321
17.0000,14.3515,14.4393,53914.7000,38120.0000,15794.7000,4.6088,11001.1987,6353.4745,17354.6732,225.0865,44473.4745,42913.5013,-1559.9732,14.4158,10.6637,23973.4000,0.0000,23973.4000,1.3176,4905.7546,0.0000,4905.7546,64.3486,0.0000,19067.6454,19067.6454,13.3891,14.6861,14.0376,-0.4392,-29645.8136,14.4158,13.8848,14.1503,20.5922,-1.0971,14.6861,14.4158,14.5509,22.4912,-2.4147,14.6861,14.4973,14.5917,22.8270,3.5117,14.4393,13.8719,14.1556,24.4671,1.0971,12.1213,12.1217,12.1215,6.3242,2.4147,14.4393,14.2607,14.3500,25.3530,-3.5117,0.1000,7.8141,39768.1000,-29645.8136
18.0000,14.7235,13.4024,79314.0000,29967.0000,49347.0000,5.5385,16087.5058,5039.5010,21127.0069,270.4901,35006.5010,63226.4942,28219.9931,14.8122,11.0459,42350.5000,0.0000,42350.5000,2.3224,8614.4004,0.0000,8614.4004,113.4219,0.0000,33736.0996,33736.0996,12.7347,15.0775,13.9061,-1.0523,-71031.5868,14.8122,14.0892,14.4507,23.8833,-1.0720,15.0775,14.8122,14.9448,26.8551,-3.3944,15.0775,14.8757,14.9766,27.0587,4.4664,13.4024,13.4110,13.4067,14.6275,1.0720,11.7928,11.8159,11.8043,3.3257,3.3944,13.4024,13.4330,13.4177,13.3779,-4.4664,0.1000,7.8141,91697.5000,-71031.5868
19.0000,14.8817,13.2213,72104.5000,22880.5000,49224.0000,4.8051,14588.3330,3862.5514,18450.8844,234.6756,26743.0514,57516.1670,30773.1156,14.9826,11.1869,48409.0000,0.0000,48409.0000,2.6357,9821.5899,0.0000,9821.5899,128.7250,0.0000,38587.4101,38587.4101,12.4621,15.2207,13.8414,-1.1729,-79170.2203,14.9826,14.0696,14.5261,23.9558,-0.7231,15.2207,14.9826,15.1017,27.7087,-3.3589,15.2207,15.0256,15.1232,27.7916,4.0820,13.2213,13.0033,13.1123,11.9723,0.7231,11.5780,11.5983,11.5881,1.6949,3.3589,13.2213,13.1730,13.1972,12.0198,-4.0820,0.1000,7.8141,97633.0000,-79170.2203
20.0000,14.9468,13.0943,74829.7000,21351.0000,53478.7000,4.8629,15124.0600,3610.0486,18734.1086,237.4941,24961.0486,59705.6400,34744.5914,15.0451,11.2369,59374.6000,0.0000,59374.6000,3.2229,12035.1331,0.0000,12035.1331,157.4018,0.0000,47339.4669,47339.4669,12.3081,15.2384,13.7732,-1.3539,-91386.7968,15.0451,13.9686,14.5069,23.0833,-0.5466,15.2384,15.0451,15.1417,27.2949,-3.7696,15.2384,15.0707,15.1545,27.2916,4.3162,13.0943,12.7648,12.9296,10.6028,0.5466,11.4585,11.4681,11.4633,1.1023,3.7696,13.0943,13.0417,13.0680,11.3461,-4.3162,0.1000,7.8141,112853.3000,-91386.7968
21.0000,15.1250,11.9926,92492.9000,9425.1000,83067.8000,5.2002,18641.3412,1600.5382,20241.8793,253.9685,11025.6382,73851.5588,62825.9207,15.2380,11.4227,60326.1000,0.0000,60326.1000,3.2709,12192.9847,0.0000,12192.9847,159.7454,0.0000,48133.1153,48133.1153,11.8540,15.4584,13.6562,-1.7447,-117765.9408,15.2380,14.1081,14.6731,24.6994,-0.6431,15.4584,15.2380,15.3482,29.1416,-3.9140,15.4584,15.2685,15.3634,29.1935,4.5571,11.9926,12.4516,12.2221,2.7714,0.6431,11.5917,11.5560,11.5739,3.1841,3.9140,11.9926,12.1099,12.0513,-0.2756,-4.5571,0.1000,7.8141,143393.9000,-117765.9408
22.0000,15.1580,12.1622,81294.4000,9779.5000,71514.9000,4.6282,16375.8323,1662.0585,18037.8908,226.0324,11441.5585,64918.5677,53477.0092,15.2375,11.4091,71276.6000,0.0000,71276.6000,3.8513,14406.3719,0.0000,14406.3719,188.0935,0.0000,56870.2281,56870.2281,11.8028,15.4110,13.6069,-1.7482,-118006.5271,15.2375,13.6177,14.4276,21.0890,-0.2589,15.4110,15.2375,15.3243,27.9774,-4.1103,15.4110,15.2493,15.3301,27.9231,4.3692,12.1622,12.0617,12.1119,3.2089,0.2589,11.4502,11.4535,11.4518,1.9263,4.1103,12.1622,12.1315,12.1469,3.2587,-4.3692,0.1000,7.8141,142791.5000,-118006.5271
23.0000,15.1845,11.7737,84759.3000,5916.0000,78843.3000,4.6194,17066.6548,1006.0958,18072.7506,225.6045,6922.0958,67692.6452,60770.5494,15.2791,11.4501,70937.1000,0.0000,70937.1000,3.8330,14328.9380,0.0000,14328.9380,187.1991,0.0000,56608.1620,56608.1620,11.6466,15.4624,13.5545,-1.8429,-124398.0754,15.2791,13.4253,14.3522,20.2512,-0.2621,15.4624,15.2791,15.3707,28.0217,-4.0952,15.4624,15.2903,15.3763,27.9884,4.3573,11.7737,12.0237,11.8987,1.7397,0.2621,11.4868,11.4668,11.4768,2.6624,4.0952,11.7737,11.8156,11.7947,-0.0002,-4.3573,0.1000,7.8141,149780.4000,-124398.0754
24.0000,15.2205,11.6400,88158.0000,4452.8000,83705.2000,4.7216,17740.9259,757.9261,18498.8519,230.5960,5210.7261,70417.0741,65206.3481,15.2674,11.4358,82164.2000,0.0000,82164.2000,4.4364,16599.6111,0.0000,16599.6111,216.6662,0.0000,65564.5889,65564.5889,11.5484,15.4200,13.4842,-2.0260,-136753.0223,15.2674,12.7464,14.0069,16.1526,-0.0951,15.4200,15.2674,15.3437,27.1966,-4.5315,15.4200,15.2714,15.3457,27.1320,4.6265,11.6400,11.9178,11.7789,1.3775,0.0951,11.4459,11.4360,11.4409,2.4483,4.5315,11.6400,11.6585,11.6492,-0.4004,-4.6265,0.1000,7.8141,165869.4000,-136753.0223
25.0000,15.1746,11.5438,87583.4000,3944.3000,83639.1000,4.6651,17638.0545,670.6192,18308.6736,227.8347,4614.9192,69945.3455,65330.4264,15.2653,11.4345,76209.5000,0.0000,76209.5000,4.1157,15397.0670,0.0000,15397.0670,201.0054,0.0000,60812.4330,60812.4330,11.4966,15.4280,13.4623,-1.9725,-133144.1927,15.2653,12.7904,14.0279,17.0616,-0.1831,15.4280,15.2653,15.3466,26.9065,-4.2988,15.4280,15.2720,15.3500,26.8744,4.4820,11.5438,11.7721,11.6579,0.8081,0.1831,11.4489,11.4327,11.4408,2.6875,4.2988,11.5438,11.5580,11.5509,-0.4967,-4.4820,0.1000,7.8141,159848.6000,-133144.1927
26.0000,15.1922,11.5203,88976.2000,3573.1000,85403.1000,4.7225,17913.5781,607.7680,18521.3461,230.6384,4180.8680,71062.6219,66881.7539,15.2389,11.4085,83011.1000,0.0000,83011.1000,4.4832,16777.8123,0.0000,16777.8123,218.9531,0.0000,66233.2877,66233.2877,11.4636,15.3836,13.4236,-2.0620,-139186.7133,15.2389,12.3024,13.7706,14.1799,-0.0798,15.3836,15.2389,15.3112,26.1851,-4.5630,15.3836,15.2418,15.3127,26.1373,4.6427,11.5203,11.6665,11.5934,0.8407,0.0798,11.4130,11.4028,11.4079,2.4601,4.5630,11.5203,11.5233,11.5218,0.0443,-4.6427,0.1000,7.8141,168414.2000,-139186.7133
27.0000,15.1420,11.4271,90936.6000,3222.9000,87713.7000,4.8046,18322.7564,547.5292,18870.2855,234.6504,3770.4292,72613.8436,68843.4145,15.2343,11.4059,79340.6000,0.0000,79340.6000,4.2870,16037.0185,0.0000,16037.0185,209.3705,0.0000,63303.5815,63303.5815,11.4190,15.3852,13.4021,-2.0605,-139080.6479,15.2343,12.5129,13.8736,16.0500,-0.1725,15.3852,15.2343,15.3098,25.9826,-4.4595,15.3852,15.2399,15.3126,25.9598,4.6321,11.4271,11.5963,11.5117,0.5099,0.1725,11.4133,11.3982,11.4057,2.6311,4.4595,11.4271,11.4391,11.4331,-0.3724,-4.6321,0.1000,7.8141,167054.3000,-139080.6479
28.0000,15.1763,11.4245,93273.6000,2899.2000,90374.4000,4.9132,18783.4758,492.9493,19276.4251,239.9533,3392.1493,74490.1242,71097.9749,15.1958,11.3682,89257.9000,0.0000,89257.9000,4.8233,18051.9019,0.0000,18051.9019,235.5600,0.0000,71205.9981,71205.9981,11.3930,15.3251,13.3591,-2.1877,-147667.3764,15.1958,11.7904,13.4931,11.5516,-0.0300,15.3251,15.1958,15.2605,25.1967,-4.8532,15.3251,15.1971,15.2611,25.1511,4.8832,11.4245,11.5218,11.4731,0.6584,0.0300,11.3692,11.3613,11.3652,2.2853,4.8532,11.4245,11.4245,11.4245,0.1742,-4.8832,0.1000,7.8141,179632.3000,-147667.3764
29.0000,15.1770,11.5771,83909.2000,4044.4000,79864.8000,4.4855,16897.4875,687.6785,17585.1660,219.0641,4732.0785,67011.7125,62279.6340,15.1327,11.3087,86197.8000,0.0000,86197.8000,4.6611,17449.3662,0.0000,17449.3662,227.6406,0.0000,68748.4338,68748.4338,11.4257,15.3175,13.3716,-2.0340,-137297.6710,15.1770,11.5473,13.3621,10.8156,0.0585,15.3175,15.1783,15.2479,24.9621,-4.6026,15.3175,15.1770,15.2472,24.9084,4.5440,11.3087,11.5339,11.4213,0.5293,-0.0585,11.3087,11.3052,11.3069,1.7753,4.6026,11.5766,11.5477,11.5621,2.3048,-4.5440,0.1000,7.8141,166062.6000,-137297.6710
30.0000,15.1585,11.9235,66825.1000,6069.8000,60755.3000,3.7076,13461.0354,1031.5970,14492.6324,181.0741,7101.3970,53364.0646,46262.6676,14.9873,11.1696,92958.4000,0.0000,92958.4000,5.0323,18858.8036,0.0000,18858.8036,245.7716,0.0000,74099.5964,74099.5964,11.4740,15.3111,13.3926,-1.9163,-129350.3841,15.1585,13.0682,14.1134,20.5700,0.4416,15.3111,15.1719,15.2415,24.7878,-4.5908,15.3111,15.1585,15.2348,24.6693,4.1492,11.1696,11.3837,11.2767,-0.7536,-0.4416,11.1696,11.1819,11.1758,0.4430,4.5908,11.8660,11.7971,11.8316,5.6341,-4.1492,0.1000,7.8141,153713.7000,-129350.3841
31.0000,14.4952,14.5007,56760.9000,38818.3000,17942.6000,4.7503,11555.1862,6492.1949,18047.3811,231.9948,45310.4949,45205.7138,-104.7811,14.6014,10.7993,57068.5000,0.0000,57068.5000,3.0975,11645.1724,0.0000,11645.1724,151.2758,0.0000,45423.3276,45423.3276,12.5921,14.6347,13.6134,-0.9160,-61828.2590,14.6014,13.6603,14.1308,19.6488,-0.5509,14.6347,14.6014,14.6180,17.1604,-3.6484,14.6347,14.6047,14.6197,17.1596,4.1993,14.5007,11.7307,13.1157,22.0638,0.5509,10.9399,10.9826,10.9613,-1.7181,3.6484,14.5007,13.9903,14.2455,34.3690,-4.1993,0.1000,7.8141,75011.1000,-61828.2590
