l_lts,g_lts,l_sts,g_sts
-8.5,2.756611484195496,-48.94751245017377,-2.716414264824877
-7.8,3.1038242362039843,-16.523745643683593,-2.509932167121298
-7.2,3.4056877285543847,-15.830598463123652,-2.3412177041168927
-6.5,3.8244433513060785,-15.425133355015488,-2.196318946859836
-5.9,4.38946662701947,-15.137451282563708,-2.0684882706992633
-5.2,5.565893725127914,-14.914307731249497,-1.953730483715492
-4.5,7.723369980555102,-14.731986174455544,-1.8494076539699924
-3.963,10.438370510706497,-14.577835494628285,-1.7536577821453236
-3.27,15.880688378439153,-14.444304102003763,-1.6651052697102349
-2.864,20.30674020221981,-14.32652106634738,-1.5826992376385907
-2.577,24.012064729156805,-14.221160550689554,-1.5056158182960122
-2.171,29.974936993793964,-14.125850370885228,-1.433195557975566
-1.884,34.63889725760939,-14.038838993895599,-1.3649014577667657
-1.191,46.55415566072623,-13.958796286222062,-1.3002898144327957
-0.497,58.14196323935251,-13.884688314068342,-1.2389893527165012
-0.274,61.54651979376873,-13.81569544258139,-1.1806859255417623
-0.051,64.64045099935004,-13.751156921443819,-1.1251110677777274
0.196,67.68852726676948,-13.690532299627383,-1.072033285866677
0.419,70.05232629850414,-13.633373885787435,-1.0212513320769168
0.642,72.08658833780757,-13.57930666451716,-0.9725889450501786
0.873,73.83111475209859,-13.528013370129608,-0.9258906907759676
1.112,75.2829824392945,-13.479223205960176,-0.8810186406458682
1.335,76.36767099049456,-13.432703190325284,-0.8378496938012172
1.679,77.60076201269436,-13.38825142775445,-0.7962734005880099
2.028,78.4477052782828,-13.345691813335653,-0.7561901793954913
2.275,78.86734495912776,-13.3048698188154,-0.7175098449585504
3.003,79.5580567276632,-13.265649105662117,-0.680150385182543
,,-13.227908777679271,-0.6440369377387132
,,-13.191541133508396,-0.6091009283409885
,,-13.156449813697126,-0.5752793407288322
,,-13.122548262021445,-0.5425140946251146
,,-13.089758439198453,-0.5107515127367128
,,-13.058009740883874,-0.4799418616126762
,,-13.027238082217119,-0.45003895410779743
,,-12.997385119067438,-0.42099980351206534
,,-12.968397582194186,-0.3927843212414493
,,-12.94022670522749,-0.3653550514212086
,,-12.912827731039375,-0.33867693690291323
,,-12.886159483957215,-0.3127171121557577
,,-12.860183997553953,-0.28744471926119275
,,-12.834866189569663,-0.2628307438439112
,,-12.810173576979292,-0.23884786828913324
,,-12.786076025400233,-0.21547033999191847
,,-12.762545527990037,-0.19267385275908697
,,-12.739556009765339,-0.17043543972582187
,,-12.717083153913281,-0.14873337641671971
,,-12.695104247194505,-0.12754709276553025
,,-12.673598041973541,-0.10685709306351075
,,-12.65254463277571,-0.086644882964929
,,-12.631925345572974,-0.06689290277231152
,,-12.611722638255454,-0.04758446634933745
,,-12.591920010959274,-0.02870370505995677
,,-12.572501925102173,-0.010235516237172008
,,-12.553453730131478,0.007834484268287154
,,-12.534761597119326,0.025520005863094934
,,-12.516412458451128,0.04283412365100132
,,-12.498393952948451,0.059789315854312075
,,-12.48069437584905,0.07639749848918911
,,-12.46330263313718,0.09267005753515709
,,-12.44620819977788,0.10861787883243591
,,-12.4294010814615,0.12425137589013595
,,-12.412871779510288,0.13958051578681754
,,-12.396611258638508,0.15461484332413586
,,-12.380610917292067,0.16936350357048932
,,-12.364862560323928,0.1838352629309651
,,-12.349358373787963,0.19803852885314532
,,-12.334090901657175,0.21198136828275158
,,-12.319053024292634,0.22567152495431228
,,-12.304237938507493,0.239116435616673
,,-12.28963913908634,0.25232324526312894
,,-12.275250401634242,0.2652988214420531
,,-12.261065766642284,0.2780497677164065
,,-12.247079524667544,0.2905824363315442
,,-12.23328620253521,0.30290294014185015
,,-12.219680550479431,0.31501716385873396
