Hours,HPHtgLd_W,HPClgLd_W
1,86966,4051.1
2,87715.2,3735.3
3,90227.9,3372.7
4,91910.5,3056.8
5,91984.3,3886.8
6,93034.3,3932.6
7,121863.8,14356.8
8,91537.4,21265.9
9,86930.6,21350.9
10,69379.9,27448.6
11,65947.8,30421.4
12,63888.9,32433.4
13,61507.6,34571.6
14,57989.1,37317.1
15,54998.6,40027
16,53441.4,40937.1
17,53914.7,38120
18,79314,29967
19,72104.5,22880.5
20,74829.7,21351
21,92492.9,9425.1
22,81294.4,9779.5
23,84759.3,5916
24,88158,4452.8
25,87583.4,3944.3
26,88976.2,3573.1
27,90936.6,3222.9
28,93273.6,2899.2
29,83909.2,4044.4
30,66825.1,6069.8
31,56760.9,38818.3
32,32014.5,72558.9
33,26621.7,89925.7
34,23085.7,101681.7
35,20503.4,106284.3
36,17819.4,113442.8
37,14763.9,121897.9
38,11982.1,129962
39,9507.7,137763.7
40,7544,144269.2
41,6215.3,150403.3
42,5016.4,156134.3
43,11809.6,79636
44,9821.9,83235.1
45,18261.1,42738.1
46,18901.4,37982.7
47,25248.3,26563
48,29223.9,21127.3
49,31936.3,17973.2
50,34194.1,15420.7
51,36180.7,13304.6
52,37831,11367.1
53,33448.9,21968.5
54,27152.5,28504.9
55,20926.3,82059.1
56,7283.4,121363
57,4162.6,132306.9
58,2688,140544.1
59,1578.5,148044.5
60,833.2,155336.3
61,357.3,162436.6
62,25.3,169915.9
63,0,175859.5
64,73.3,180290.4
65,143.9,185055.8
66,333.5,189255
67,2335.1,105120.5
68,2839.2,104292.8
69,5568.1,63944.5
70,6617.8,60384.7
71,9624.1,48169.9
72,11719.1,41678.7
73,13471,36608.3
74,14954.7,32541.9
75,16888.1,29396.9
76,19540.3,26677.5
77,17887.4,40194.6
78,16131.9,47241.6
79,9307.3,100556.1
80,6634.8,137687.5
81,4436.2,148725.5
82,2932.1,158186.3
83,2389.2,168081.4
84,2169.9,177524.2
85,1802.1,186658.6
86,1068.8,195290.2
87,538.5,202255.5
