Hours,HPHtgLd_W,HPClgLd_W
1,123697.4,0
2,123197.8,0
3,115755.4,0
4,122124.7,0
5,116286,0
6,120436.1,0
7,113576.1,0
8,117334.3,0
9,107489.2,0
10,106412.6,0
11,92155.1,0
12,88421,0
13,73724.9,0
14,71984.7,0
15,63393.6,0
16,72116.9,0
17,76521.3,0
18,98776.9,0
19,104519.3,0
20,118413.1,0
21,119956.6,0
22,132503.1,0
23,140525.9,0
24,156482.6,0
25,159831.1,0
26,164349.5,0
27,166089.8,0
28,176298.8,0
29,182572,0
30,184735.2,0
31,137575.3,0
32,104639,0
33,85925.7,0
34,64701.6,0
35,56632.3,0
36,53331.7,0
37,51251.4,0
38,46305,0
39,44491.9,0
40,45941.2,0
41,49703.2,0
42,91125.3,0
43,116064.9,0
44,119120.5,0
45,133146.4,0
46,132656.3,0
47,136649.3,0
48,129868.7,0
49,130443.4,0
50,118514.8,0
51,118078.6,0
52,109359.3,0
53,113523.8,0
54,107004,0
55,66836.3,0
56,60669.8,0
57,53033.9,0
58,46126.4,0
59,41749.4,0
60,37811.2,0
61,36224.2,0
62,30972.7,0
63,27612.3,0
64,28536.4,0
65,31886,0
66,64374.4,0
67,82470,0
68,81561.7,0
69,93520.5,0
70,91703.4,0
71,101494.7,0
72,98868.1,0
73,110669.8,0
74,108540.8,0
75,118105.7,0
76,119066.1,0
77,131261.6,0
78,133677.4,0
79,87895.6,0
80,81481.7,0
81,72061.1,0
82,63968.4,0
83,58185,0
84,53306.1,0
85,51007.5,0
86,47089.4,0
87,45865.8,0
88,46858.1,0
89,52878.9,0
90,106288.9,0
91,141016.7,0
92,156910.1,0
93,172316.4,0
94,182531.5,0
95,192769.9,0
96,200463.4,0
97,204793.9,0
98,212067.3,0
99,215316.8,0
100,223062.9,0
101,227483.8,0
102,238290.4,0
103,148861.1,0
104,136447.9,0
105,117295.2,0
106,93475,0
107,72521.3,0
108,58733.7,0
109,53300.4,0
110,48247.7,0
111,46993.8,0
112,48336.3,0
113,54459.4,0
114,110204.8,0
115,155315.9,0
116,166623.2,0
117,174929.1,0
118,178557.5,0
119,186124.9,0
120,192157.2,0
121,203744.7,0
122,224166.1,0
123,238322.1,0
124,253653.6,0
125,254441.7,0
126,274001.6,0
127,173757,0
128,160515.3,0
129,132841.9,0
130,94637.8,0
131,63030.1,0
132,48288.3,0
133,41341.9,0
134,34661.3,0
135,31416.4,0
136,32488.3,0
137,39789.1,0
138,87337.3,0
139,120852.2,0
140,128003.7,0
141,147413.3,0
142,154507,0
143,163549.7,0
144,166852.1,0
145,172484.7,0
146,171966.9,0
147,178556.1,0
148,179604.2,0
149,177892.7,0
150,174319.3,0
151,175348.4,0
152,125681.4,0
153,94178.7,0
154,74539.1,0
155,63772.7,0
156,59050.7,0
157,58391.2,0
158,58207.9,0
159,57991.9,0
160,58428.6,0
161,87769.4,0
162,103491.1,0
163,101815.6,0
164,110638.5,0
165,106260.2,0
166,112459.4,0
167,106730.6,0
168,113793.9,0
169,109471.4,0
170,115852.9,0
171,110720.6,0
172,116025.8,0
173,109321.9,0
174,115073.9,0
175,109243.9,0
176,114844.9,0
177,106552.2,0
178,107904.2,0
179,98870.3,0
180,104244.6,0
181,99363.5,0
182,104753.2,0
183,98854.5,0
184,112682.5,0
185,117792.7,0
186,142166.5,0
187,156556.7,0
188,174915.8,0
189,186682.1,0
190,197421.2,0
191,207196.8,0
192,213313.2,0
193,221625.1,0
194,225777.4,0
195,237941,0
196,244054.6,0
197,259971.8,0
198,259102.7,0
199,206207.1,0
200,155109.3,0
201,135796.3,0
202,116474.5,0
203,100109.6,0
204,79838.8,0
205,66098.4,0
206,56712.5,0
207,53422,0
208,54186.3,0
209,59617.7,0
210,122254.1,0
211,171499.4,0
212,186386.6,0
213,199207.6,0
214,210469.3,0
215,215329.7,0
216,223646.9,0
217,229543.1,0
218,242536.2,0
219,242267.4,0
220,251639.6,0
221,245046.1,0
222,254725.2,0
223,156740.5,0
224,142334.3,0
225,120750.1,0
226,91495.6,0
227,68155,0
228,54582.5,0
229,47689,0
230,41290.1,0
231,38630.8,0
232,39103,0
233,44759.9,0
234,94433.6,0
235,127918.2,0
236,140055.8,0
237,147989,0
238,146660,0
239,152492.8,0
240,153103.4,0
241,160351.6,0
242,159969.9,0
243,164392.6,0
244,162847.5,0
245,166386,0
246,163111.4,0
247,101134.3,0
248,88539.4,0
249,71642.4,0
250,61437.9,0
251,54144.8,0
252,47654.6,0
253,43913,0
254,41649.7,0
255,42188.2,0
256,44491,0
257,47622.1,0
258,87087,0
259,111842.3,0
260,110731.8,0
261,118743.4,0
262,116185.3,0
263,123897,0
264,130467.5,0
265,147234.3,0
266,150300.3,0
267,161707,0
268,159459.2,0
269,150868,0
270,131014.1,0
271,76374.4,0
272,67370.8,0
273,60496.7,0
274,52176.6,0
275,45898.1,0
276,40315.5,0
277,37164.4,0
278,32584.2,0
279,30588.9,0
280,30883.1,0
281,35405.6,0
282,77234.3,0
283,110546.1,0
284,120631.3,0
285,137253.7,0
286,147035,0
287,157944.6,0
288,161182.5,0
289,165935.3,0
290,167197.3,0
291,174600.4,0
292,178085.3,0
293,181588.5,0
294,177201.1,0
295,111145.4,0
296,101448.9,0
297,81334.8,0
298,58542.7,0
299,45632.4,0
300,35668.8,0
301,28666.4,0
302,24112.2,0
303,24843,0
304,26479.4,0
305,30211.6,0
306,62972.9,0
307,80794.9,0
308,79271.1,0
309,84853.9,0
310,73060.1,0
311,68700.8,0
312,55504.6,0
313,59925.7,0
314,56241.1,0
315,62944.1,0
316,63543.9,0
317,81231.4,0
318,81619.4,0
319,93179,0
320,66269,0
321,54132.2,0
322,46004.1,0
323,39365.9,0
324,34474.9,0
325,33936.7,0
326,32407.2,0
327,31466,0
328,32713,0
329,56744.7,0
330,78504.1,0
331,86371.2,0
332,102869.6,0
333,105650.5,0
334,118234.5,0
335,117323.7,0
336,129850.8,0
337,131900,0
338,143704.2,0
339,151015.4,0
340,160189.8,0
341,160463.1,0
342,161404.7,0
343,160561.2,0
344,161859.2,0
345,142945.2,0
346,121218.8,0
347,99092.2,0
348,91474.6,0
349,76420.2,0
350,74930.4,0
351,67611.3,0
352,81943,0
353,85551,0
354,103462.6,0
355,110228.1,0
356,127283.6,0
357,126377.6,0
358,133155.9,0
359,129200.3,0
360,133455.5,0
361,131863.8,0
362,141092.9,0
363,139431.8,0
364,143965.8,0
365,138305.4,0
366,140598.3,0
367,132868.5,0
368,131875.3,0
369,116308.6,0
370,109639.6,0
371,91422.3,0
372,87903.1,0
373,73070.7,0
374,71381.8,0
375,59056.2,0
376,61864.3,0
377,63935.7,0
378,86894.7,0
379,93396.7,0
380,109680.5,0
381,108334.7,0
382,117007.7,0
383,113767.8,0
384,116823.7,0
385,105197.2,0
386,108720.6,0
387,106414.7,0
388,117838.3,0
389,118602.9,0
390,132009.6,0
391,102043,0
392,80254,0
393,70597.3,0
394,63283.4,0
395,58064.9,0
396,53889.9,0
397,53938.6,0
398,52637.2,0
399,54087.1,0
400,58741.3,0
401,63329,0
402,118371.7,0
403,159560.7,0
404,170742,0
405,182367.8,0
406,192099.3,0
407,204135.2,0
408,217028.4,0
409,226561.4,0
410,243896.6,0
411,249508.8,0
412,267936.9,0
413,269329.4,0
414,292247.3,0
415,179411.6,0
416,166660.8,0
417,148043.8,0
418,124271.9,0
419,104453.8,0
420,87940,0
