Hours,HPHtgLd_W,HPClgLd_W
1,66470.3,0
2,70954,0
3,67845.6,0
4,75829.6,0
5,70193.3,0
6,76208.7,0
7,69679.6,0
8,71003.9,0
9,43653.6,0
10,36839.6,0
11,31238.5,20.6
12,34417.5,3165.7
13,29489.3,10434.2
14,25687.1,12977
15,19870.3,7382.3
16,21631,1453.8
17,23973.4,0
18,42350.5,0
19,48409,0
20,59374.6,0
21,60326.1,0
22,71276.6,0
23,70937.1,0
24,82164.2,0
25,76209.5,0
26,83011.1,0
27,79340.6,0
28,89257.9,0
29,86197.8,0
30,92958.4,0
31,57068.5,0
32,42456.3,0
33,10911.5,4523.2
34,6097.9,3779.7
35,3652.8,3548.5
36,2614.9,5672.4
37,3153.5,8282.2
38,800.7,9777.2
39,509.7,7882.8
40,1019.6,7968.2
41,1835.3,10790.4
42,5766.6,13366.7
43,13038.3,100.8
44,16320.1,0
45,21522.6,0
46,21688.6,0
47,44620.3,0
48,55005.3,0
49,52589.6,0
50,57066,0
51,52510.2,0
52,57245.2,0
53,53193.3,0
54,57925.1,0
55,33467.6,0
56,25918.9,0
57,6767.2,6237.7
58,2658.7,5847.7
59,1060.4,5310.3
60,98,7568.9
61,524.4,10210
62,0,11637.8
63,0,9640.2
64,0,9614.3
65,0,12323.2
66,245,14391.5
67,3992.4,146.8
68,6111.3,0
69,11898.7,0
70,14174.6,0
71,34567.8,0
72,43748.3,0
73,44679.8,0
74,51258.7,0
75,51415.2,0
76,61975.9,0
77,62165.9,0
78,71360.7,0
79,43779.5,0
80,34436.1,0
81,9896,6946
82,5246.6,7149.7
83,3450.2,8107.7
84,2158.4,21384.1
85,3187.7,28257
86,771.8,31376.1
87,593.4,27463.4
88,588.5,23297.9
89,1351.3,16120.6
90,5366.6,15238.6
91,12377.3,184
92,16201.7,0
93,23319.9,0
94,26529.1,0
95,57831.7,0
96,72646.8,0
97,74350.4,0
98,84931.4,0
99,83569.9,0
100,92660.1,0
101,91611.2,0
102,100834.2,0
103,62113.1,0
104,46793.3,0
105,14550.6,6941.6
106,8840.7,7399.3
107,5773.6,7531.5
108,3343.3,18942.3
109,4003,27299.6
110,1189.6,28915.3
111,982.8,26466.8
112,924,22914.4
113,1559.1,15697.1
114,5383.6,15228.1
115,12075,184
116,15222.2,0
117,21252.1,0
118,23878.4,0
119,53150.4,0
120,67324.8,0
121,70399.7,0
122,84744.3,0
123,86793.6,0
124,96396.6,0
125,95509.3,0
126,106411.2,0
127,66009.9,0
128,49137.7,0
129,14293.2,7085.2
130,7785.9,6765.6
131,3822.2,12896
132,1873.4,28457.1
133,1632.3,34909.2
134,339.4,38473.8
135,33.2,35399.5
136,0,31654.3
137,87.1,21936.8
138,1699.7,15869.6
139,6702,192.7
140,9373.1,0
141,15854.3,0
142,18807,0
143,45554.7,0
144,57221.7,0
145,60431.8,0
146,69325.1,0
147,69003.5,0
148,77219.5,0
149,73477.2,0
150,80204.2,0
151,45545.7,0
152,36439.6,0
153,24636.3,0
154,17582.8,0
155,13292.1,0
156,9042.3,0
157,9497,0
158,9652.9,0
159,15714.8,0
160,18082.3,0
161,19616.4,0
162,23638.8,0
163,45211.4,0
164,55417,0
165,53726.2,0
166,59961.8,0
167,56361.6,0
168,63437.6,0
169,59648.8,0
170,65947.1,0
171,61839.5,0
172,67576.6,0
173,62388.2,0
174,69073.3,0
175,64084.7,0
176,69778.8,0
177,60321.3,0
178,60427.7,0
179,52262.8,0
180,52711.3,0
181,44201.4,0
182,43744.3,0
183,40983.5,0
184,52234.6,0
185,59338.3,0
186,79646.8,0
187,82512.3,0
188,96072.7,0
189,95225.1,0
190,105906.5,0
191,103289.9,0
192,114257.1,0
193,106355.4,0
194,115625.4,0
195,112341.9,0
196,124211.4,0
197,121404.6,0
198,130273,0
199,82876.5,0
200,65558.3,0
201,33971.9,3028.3
202,21030.3,1528.8
203,12592.6,1085.5
204,9934.9,7286.7
205,10490.3,15723.1
206,4678.8,21319.1
207,3609.6,17236.3
208,3707.4,12388.3
209,5009.2,11953.3
210,10752,13771.7
211,19923.7,108
212,23439.6,0
213,30031.8,0
214,32777.7,0
215,67257.1,0
216,85360.5,0
217,87610.9,0
218,98751.9,0
219,96515.7,0
220,105573.9,0
221,100832.6,0
222,109344.6,0
223,67870.3,0
224,50872.9,0
225,15407.4,6169.1
226,9315.5,6106.7
227,6032,12727.9
228,3335.3,24277.3
229,3418.8,30970.1
230,806.4,34201.1
231,499.1,29628.3
232,312.2,24984.3
233,534.9,16794.3
234,2895,15191
235,8460.8,186.5
236,10927.5,0
237,16453.6,0
238,18887.1,0
239,44746.9,0
240,56471,0
241,57791.4,0
242,66202.1,0
243,64467.7,0
244,71551,0
245,68872.6,0
246,74805.7,0
247,43762.5,0
248,34027.6,0
249,12857.2,6758
250,6350.5,6530.5
251,2535.1,5888.4
252,1013.9,8154.6
253,1346.4,10844.4
254,330.5,12137.3
255,100.5,9912.6
256,539.1,9853.2
257,809.3,12474.9
258,3309.5,14455.9
259,10009.8,150.2
260,11510.6,0
261,16730.7,0
262,18541.1,0
263,42468.2,0
264,56192.2,0
265,57833.5,0
266,66506.4,0
267,65112,0
268,71206.8,0
269,63506.8,0
270,65389.6,0
271,38470.4,0
272,29633.7,0
273,6619.3,6939.8
274,2258.2,5762.8
275,1205.4,9107.1
276,585.3,25391.9
277,744.2,31743.5
278,10.2,35558.6
279,0,32182.5
280,0,29608.7
281,0,22074.1
282,559.1,15702.4
283,4846.4,191.6
284,7978.6,0
285,14680,0
286,17676.1,0
287,43694.1,0
288,54484.4,0
289,53705.8,0
290,62320.7,0
291,62837.8,0
292,72585,0
293,69861.3,0
294,74324.5,0
295,43673.1,0
296,33534.4,0
297,8831.8,7258.1
298,2542.3,7434.6
299,775.8,6850.1
300,37.5,9496.1
301,0,11980.9
302,0,13031.4
303,0,10876.7
304,0,11185.8
305,0,14078.2
306,0,14958.3
307,1511.9,179.9
308,2738.8,0
309,6444.2,0
310,5405.8,0
311,14202,0
312,12451.1,0
313,15811.2,0
314,19264.6,0
315,19160.3,0
316,27876,0
317,33137.7,0
318,40108.5,0
319,22730.6,0
320,17083.8,0
321,5461.6,0
322,2642.5,936.3
323,1177.6,9546.1
324,573.6,15415.2
325,294,18302.7
326,150.7,20943.1
327,1258.5,16577.5
328,1776.4,10288.2
329,3330.2,1522.8
330,7420.6,0
331,25154.1,0
332,35667.1,0
333,39662.5,0
334,48342.3,0
335,49339.2,0
336,60019.7,0
337,60337.9,0
338,71247.8,0
339,70267.1,0
340,79215.5,0
341,76120.3,0
342,83112.9,0
343,79280.7,0
344,79950.2,0
345,50429.5,0
346,37120.4,0
347,30094.7,0
348,31522.8,2962.8
349,27667.3,9050.6
350,23923.7,10591.1
351,20174.2,1214.2
352,29165.5,0
353,35107.3,0
354,47948.7,0
355,52513.4,0
356,64812.3,0
357,62324.9,0
358,69143.2,0
359,65697.6,0
360,72856.9,0
361,69708.6,0
362,77772.5,0
363,73709.7,0
364,80770.2,0
365,74223.9,0
366,79705.4,0
367,73499.4,0
368,77658,0
369,65951.9,0
370,62993,0
371,48995.5,0
372,47493.3,0
373,37014.7,0
374,33412.9,0
375,20559.5,0
376,21779.7,0
377,26642.1,0
378,45528.6,0
379,48778.6,0
380,59339.1,0
381,57914.2,0
382,67147.7,0
383,64563,0
384,69552.7,0
385,58467.3,0
386,64753.2,0
387,62980,0
388,72562.8,0
389,70629.9,0
390,80953.9,0
391,51247.6,0
392,40075.2,0
393,11316.5,4296
394,6903.7,3337.1
395,5071.4,3640.2
396,3726,9579.9
397,4844.6,7789.8
398,1757.4,10332.8
399,1946.3,8480.9
400,3733.6,7805.4
401,4930.8,11325.8
402,11543.4,13663
403,20586.4,108.1
404,23978.6,0
405,30264,0
406,33147.4,0
407,68829.2,0
408,88182.5,0
409,90990.9,0
410,103180.8,0
411,102919.9,0
412,114231.5,0
413,113125,0
414,123469.9,0
415,78040,0
416,57392.3,0
417,20524.8,6095.1
418,13987.8,5516.9
419,11093.5,9240.7
420,9094.5,19525.7
421,10199.2,26413.5
422,4911.9,30592
423,4153.9,26550.1
424,3835.9,21431.1
425,4628.1,16524.2
426,9110,15108.7
427,17456.2,176.4
428,22698.9,0
429,30730,0
430,34495.4,0
431,71816.5,0
432,92639.4,0
433,98724.2,0
434,111331.2,0
435,109454.6,0
436,120616.6,0
437,121288.2,0
438,130381.6,0
439,81072.5,0
440,59177.3,0
441,19258.4,6652.8
442,11495.3,4473.9
443,7764.1,13479
444,4654.9,25724.7
445,4544.8,32789.7
446,1043,36720.5
447,667.2,32668.2
448,480.1,28655.5
449,781.3,22062.4
450,4440.7,15522.9
451,11143.9,187.5
452,14713.3,0
453,21695.3,0
454,25741.6,0
455,57626.8,0
456,71645,0
457,69790.3,0
458,75097.6,0
459,71746.7,0
460,79139,0
461,76737.6,0
462,81935.2,0
463,46717.9,0
464,35762.1,0
465,15781.2,6692
466,10286.2,6396.6
467,7074.6,5685.2
468,3083.3,7905.7
469,2749.6,10631.3
470,965.8,12019.7
471,797,9836.5
472,912.5,9780.1
473,1662,12467.5
474,7138.9,14425.7
475,14881.6,146.6
476,17961.4,0
477,24385.2,0
478,24954.2,0
479,50452.6,0
480,63717.5,0
481,66738.1,0
482,74531.6,0
483,71188.4,0
484,78480.2,0
485,73309.8,0
486,79945.5,0
487,45722.2,0
488,36860,0
489,22812,0
490,16415.5,0
491,11884.6,0
492,8321,0
493,5977.7,0
494,4311.3,0
495,10592.3,0
496,13930.2,0
497,17997.6,0
498,26213.9,0
499,51543.5,0
500,65650.3,0
501,66261.5,0
502,75647.2,0
503,74559.5,0
504,85511.3,0
505,81740.3,0
506,88640.2,0
507,83925.2,0
508,93139.8,0
509,88990.9,0
510,97550.6,0
511,92938.8,0
512,95360.5,0
513,66037.9,0
514,53696.2,0
515,47271.8,0
516,46375.9,0
517,41470.2,0
518,41194.4,0
519,34887.4,0
520,38276.3,0
521,49027.1,0
522,74714,0
523,79272.2,0
524,91301.9,0
525,89532.4,0
526,101599.1,0
527,100242.6,0
528,110547.3,0
529,104336.5,0
530,115294.7,0
531,111219.1,0
532,121493.8,0
533,120168.9,0
534,129627.4,0
535,81119.9,0
536,59358.5,0
537,19560.8,3899.7
538,12630.9,2695.9
539,9171.7,2541.1
540,8205.6,4828.8
541,10016.2,7398.6
542,6241.3,8816.6
543,4966.2,6897
544,3510.4,7291.9
545,4475.4,10904.3
546,10750.5,13461.4
547,21648.7,94
548,24686,0
549,30101.2,0
550,32725.7,0
551,66540.1,0
552,83103.6,0
553,83357.7,0
554,92033.5,0
555,85968.2,0
556,90593.3,0
557,83526.2,0
558,89453.5,0
559,53965.9,0
560,40952.7,0
561,12689.2,5717.8
562,5248.9,3930.9
563,2259.2,11737.5
564,991.6,24317.5
565,804.9,32209.7
566,0.9,36054.6
567,0,31844
568,0,27404
569,0,22309.6
570,128.8,15409
571,3155.6,188
572,5198.5,0
573,10472.1,0
574,12543.4,0
575,34713.9,0
576,44191.3,0
577,46403.9,0
578,55217.2,0
579,55219.4,0
580,62694.8,0
581,61818.8,0
582,71136.4,0
583,42112.5,0
584,30918.6,0
585,7770.8,7200.3
586,2697,7292.4
587,1181.4,6685.6
588,552.8,8965.7
589,1286.3,11480.4
590,100.8,12529.7
591,87.1,10247.5
592,99,10188.5
593,324.6,12784
594,1668.7,14650.8
595,6442.8,153.5
596,8029.3,0
597,12968.5,0
598,14426.7,0
599,34925.6,0
600,42255.9,0
601,41091.4,0
602,46192.9,0
603,43376.5,0
604,47917.1,0
605,43515.5,0
606,46219.6,0
607,25250.2,0
608,18468.3,0
609,2378.8,7141
610,191.2,7041
611,0,6371.9
612,0,8664.5
613,0,11385.6
614,0,12675.7
615,0,10656.8
616,0,10835.1
617,0,13760.6
618,0,15037.3
619,0,187.8
620,0,0
621,0,0
622,0,0
623,4064.4,0
624,5938.1,0
625,6378.2,0
626,6756.4,0
627,5900.4,0
628,6591.3,0
629,7138.9,0
630,7444.7,0
631,3393,0
632,2250.4,0
633,0,8509.9
634,0,8806.3
635,0,8210.7
636,0,11042.2
637,0,12641
638,0,14578.8
639,0,13515.5
640,0,14059.5
641,0,16706.1
642,0,16079.7
643,919.4,184.1
644,2596.1,0
645,8323.7,0
646,10633.5,0
647,31724,0
648,39462.7,0
649,41929.5,0
650,48642.5,0
651,46164.6,0
652,51976,0
653,52133.6,0
654,62131.3,0
655,36187.3,0
656,28885.6,0
657,12716.4,0
658,8624.8,0
659,6455.3,1688.1
660,5079.2,9099.9
661,3865,14187.2
662,2428,15309
663,4913.6,8913.3
664,5923.3,2822.5
665,7610.4,0
666,12920.1,0
667,37201.3,0
668,51130.2,0
669,51768.7,0
670,57398.3,0
671,54119.7,0
672,59725.3,0
673,56009.1,0
674,61504.4,0
675,57289,0
676,63112.3,0
677,59015.6,0
678,65157.9,0
679,62260.7,0
680,65344.3,0
681,37193.6,0
682,28845.9,0
683,20881.3,1066.7
684,17001.9,10676.2
685,11225.2,8343.1
686,10198.4,0
687,8316.2,0
688,9712.1,0
689,12206.1,0
690,26422.2,0
691,33496.5,0
692,44365.1,0
693,45466.9,0
694,50880.2,0
695,49802.3,0
696,59228,0
697,54646.3,0
698,62766.6,0
699,60060.5,0
700,66569.5,0
701,62284.1,0
702,68208.4,0
703,40818.4,0
704,32364.2,0
705,10201.5,4444.9
706,4617.5,3338.4
707,2530,3227.3
708,1061.7,5622.2
709,914.9,8451.3
710,0,10034.6
711,0,8165.5
712,0,8295.4
713,116.9,11161
714,2253.7,13628.5
715,9671.8,111
716,12608.1,0
717,18294.6,0
718,19437.2,0
719,42598.3,0
720,51061.8,0
721,50777.8,0
722,57335.6,0
723,54726.2,0
724,61809.6,0
725,58706.8,0
726,64881.3,0
727,37672.6,0
728,28863.2,0
729,9618.8,6260
730,3574.8,5918.3
731,1340.8,5428.1
732,198.4,7754.6
733,487.5,10482.5
734,0,11874.8
735,0,9752.1
736,0,9731.9
737,0,12427
738,787.6,14448.9
739,6222,148.9
740,9078.7,0
741,14900.8,0
742,15720.1,0
743,33951.1,0
744,36516.4,0
745,32224.5,0
746,32077.4,0
747,25360.1,0
748,21227,0
749,16714,0
750,16276.2,0
751,9001.9,0
752,5559.5,0
753,0,7466.9
754,0,7474.8
755,0,6899.1
756,0,9367.7
757,0,13052.2
758,0,22398.1
759,0,33239.6
760,0,33127.1
761,0,30328.5
762,0,17648.9
763,0,209.5
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,11788.8
778,0,14096
779,0,14411.2
780,0,17226.8
781,0,16429.6
782,0,19952.3
783,0,20247.9
784,0,21744
785,0,24706.8
786,0,22016.5
787,0,710.5
788,0,20.8
789,610.2,0
790,1910.7,0
791,17018,0
792,24342.5,0
793,27941.2,0
794,35553.9,0
795,34168.1,0
796,40564.1,0
797,38452.2,0
798,44713,0
799,23654.9,0
800,17730.3,0
801,1516.8,8182.3
802,194.5,8571.2
803,0,8114.9
804,0,10969.5
805,0,12526
806,0,14713.9
807,0,13767
808,0,14333.5
809,0,16905.2
810,35.7,16227.9
811,3307.2,182.7
812,5285.4,0
813,10711.8,0
814,12026.7,0
815,31441.2,0
816,37843.6,0
817,39119,0
818,44636.4,0
819,42497.9,0
820,47367.7,0
821,45080,0
822,49660.8,0
823,25613.7,0
824,20405.9,0
825,12127.7,0
826,7733.2,0
827,2641.6,0
828,1801.2,0
829,290.9,0
830,283.9,0
831,4631.3,0
832,8520.7,0
833,12078.2,0
834,19262.5,0
835,43764.3,0
836,56571.4,0
837,57900.2,0
838,67571.9,0
839,66730.3,0
840,75128.8,0
841,72611.3,0
842,82516.1,0
843,80166.4,0
844,89150.4,0
845,86600.5,0
846,96344.8,0
847,92257.4,0
848,91545.6,0
849,60831.2,0
850,46847.6,0
851,42507.4,0
852,53393,0
853,51122.3,0
854,50435.6,0
855,46065.6,0
856,51310.7,0
857,48643.6,0
858,65636.2,0
859,70802.2,0
860,82351.7,0
861,82240.1,0
862,94743.3,0
863,92886.9,0
864,105321.7,0
865,100670,0
866,112456.9,0
867,110619.2,0
868,121713.9,0
869,118222.7,0
870,126114,0
871,80459.7,0
872,57493.9,0
873,20622.1,3757
874,14478.8,2408.6
875,11565.8,4402.2
876,9300.6,14415.7
877,10377.9,21661.9
878,4906.6,26600.8
879,3960.2,23661.1
880,3575.3,19182.6
881,4128.8,14760.9
882,7977.4,14489.7
883,16132.3,135.7
884,21895.6,0
885,30040.9,0
886,33509.8,0
887,70922.2,0
888,91059.5,0
889,93910.9,0
890,105222.8,0
891,104597.1,0
892,114933,0
893,112540.2,0
894,122393.8,0
895,75999.3,0
896,55120.6,0
897,17796.5,5944.8
898,10501.1,5890.1
899,7499.1,10753.9
900,5510.3,22013
901,5677.7,29131.9
902,1524.8,33166.4
903,909.7,27620.7
904,820.5,20120.1
