Hours,HPHtgLd_W,HPClgLd_W
360,158217.1,0
361,150122.2,0
362,170577.8,0
363,159660.3,0
364,178488.8,0
365,162265.3,0
366,177863.4,0
367,161087.3,0
368,156891.9,0
369,133211.1,0
370,129635.2,0
371,97689.6,0
372,83915.3,0
373,58701.7,0
374,46852.7,0
375,29079.5,0
376,26362.9,0
377,33967.2,0
378,42369.1,0
379,63717.6,0
380,70334.7,0
381,99023.7,0
382,111723.3,0
383,141975.8,0
384,122904.6,0
385,142594.1,0
386,124079.8,0
387,153239.4,0
388,135173,0
389,167393.2,0
390,149321,0
391,110299.3,0
392,53733.9,0
393,749.1,0
394,0,296.3
395,0,12835.6
396,0,25982.7
397,0,22581.3
398,0,20405.3
399,0,22594.2
400,749.4,14037.2
401,1282.9,0
402,7601.7,0
403,12884.1,0
404,18987.2,0
405,23981.3,0
406,137880,0
407,183611.6,0
408,200979.3,0
409,222074.6,0
410,239613.1,0
411,254326.2,0
412,277621.3,0
413,293218.8,0
414,325260.7,0
415,189510,0
416,117128.2,0
417,14216.4,0
418,7315.5,0
419,3378.2,3989.1
420,937.7,22905.6
421,25,34945.7
422,0,38707.4
423,0,41189.6
424,1532.5,38209.2
425,1895.7,6542.5
426,6907.8,0
427,14879.2,0
428,23876.6,0
429,32213.3,0
430,165331.4,0
431,213823.7,0
432,239621.3,0
433,269285,0
434,304685.5,0
435,321621.9,0
436,359136.8,0
437,386486.2,0
438,427260,0
439,234255.5,0
440,164138.7,0
441,24503,0
442,10366.7,0
443,4447.2,6847.1
444,771,28931.9
445,0,43701.2
446,0,49141.8
447,0,53881.3
448,90.3,50979.3
449,457.9,20941.9
450,1315.9,0
451,3439.1,0
452,7704.3,0
453,14584.9,0
454,121279.5,0
455,166379.7,0
456,179924,0
457,193569.5,0
458,191996.1,0
459,201466.9,0
460,200849.6,0
461,210927.2,0
462,207268.3,0
463,125447.1,0
464,66995.9,0
465,5627.1,0
466,3554.1,0
467,1999,0
468,781.4,2347.5
469,384,3973.1
470,188.5,299.9
471,97.9,743.3
472,328.9,1017.5
473,874.4,0
474,6166.5,0
475,9523.1,0
476,12923.8,0
477,17367.8,0
478,117883.3,0
479,151131.4,0
480,158016.2,0
481,173120.1,0
482,172241.9,0
483,182365.4,0
484,180770.2,0
485,186881.4,0
486,184195.7,0
487,191018.7,0
488,165886.6,0
489,159180,0
490,137721.9,0
491,126320.7,0
492,101187.7,0
493,88521.8,0
494,68423.5,0
495,67435.3,0
496,64096.5,0
497,75531.3,0
498,89553.9,0
499,110392.2,0
500,114518.7,0
501,133480.5,0
502,152049.2,0
503,171583.8,0
504,176481.4,0
505,187839.7,0
506,186407.8,0
507,195374.3,0
508,196779.1,0
509,205776.1,0
510,206449.5,0
511,213754.9,0
512,187570.2,0
513,154742.5,0
514,116669.5,0
515,104629.6,0
516,79047.5,0
517,72355.5,0
518,56680.5,0
519,51695.7,0
520,48655.4,0
521,68474.4,0
522,93771,0
523,126247.3,0
524,137596.3,0
525,159565.8,0
526,191432.2,0
527,212600.3,0
528,222581.6,0
529,234868,0
530,252730.9,0
531,259880.8,0
532,282417.3,0
533,297052.7,0
534,341051.4,0
535,188667.8,0
536,112773,0
537,12680.4,0
538,6405.7,0
539,2355.4,0
540,732,1724.8
541,525.5,3340.4
542,571,0
543,392.7,0
544,1164.3,2149.7
545,1784.4,0
546,8129.4,0
547,16666.8,0
548,22883.6,0
549,28535.2,0
550,143377,0
551,186892,0
552,196362.8,0
553,213221.2,0
554,217760.9,0
555,222291.7,0
556,218298.7,0
557,220750.6,0
558,216718.8,0
559,131901.5,0
560,70904.8,0
561,4148.4,0
562,266.1,177
563,0,13902.5
564,0,39161.7
565,0,53691
566,0,58671.9
567,0,66592.6
568,0,69137.7
569,0,28990
570,0,383.8
571,0,0
572,293.5,0
573,1354.7,0
574,54546.5,0
575,77922.9,0
576,95074.7,0
577,112842.5,0
578,127369.2,0
579,139448.2,0
580,151000,0
581,159536.9,0
582,175116.3,0
583,112025.3,0
584,55575.8,0
585,1437.7,0
586,303.9,0
587,0,238.2
588,0,4067.4
589,0,4875.9
590,0,1128.7
591,0,1793.1
592,0,2290.2
593,63.1,0
594,1527.6,0
595,3200.7,0
596,4436.4,0
597,5409.1,0
598,70563.8,0
599,93526.1,0
600,94508.7,0
601,109869.7,0
602,105430.9,0
603,117666.8,0
604,110616.5,0
605,120035.4,0
606,110161.6,0
607,74809.8,0
608,24350.1,0
609,576.3,0
610,237.1,63.2
611,7.9,729.4
612,0,7997
613,0,20883.1
614,0,29902
615,0,46350.6
616,0,51633.1
617,0,14338.4
618,0,105.1
619,0,0
620,0,0
621,0,0
622,2243.6,0
623,7255.2,0
624,8996,0
625,8542.3,0
626,10153.5,0
627,11610.4,0
628,12929.2,0
629,16188.9,0
630,17661.1,0
631,16087.8,0
632,195.8,0
633,0,517.7
634,0,7463.4
635,0,17204.8
636,0,32402.6
637,0,38261.8
638,0,35639.1
639,0,37891.7
640,0,37356.1
641,0,1401.4
642,0,0
643,18.2,0
644,153.7,0
645,773,0
646,45799.6,0
647,71664.3,0
648,77503.6,0
649,96097.4,0
650,96886.8,0
651,111956.4,0
652,108541.2,0
653,127439.5,0
654,128615.4,0
655,149695.6,0
656,128861.5,0
657,111053.4,0
658,75277.9,0
659,67685.5,0
660,55165.7,0
661,50999.7,0
662,39849.4,0
663,37178.1,0
664,33739.8,0
665,34711.4,0
666,44881.6,0
667,71937.5,0
668,86596.2,0
669,110956.5,0
670,126703.4,0
671,144166.3,0
672,138020.1,0
673,149382.2,0
674,140207.1,0
675,149890.6,0
676,140152.3,0
677,150013.8,0
678,140712.5,0
679,153658.1,0
680,128113.9,0
681,97093.9,0
682,63004.1,0
683,48708.9,0
684,35900.4,0
685,25264.5,0
686,19741.2,0
687,13995.2,0
688,13740.4,0
689,18861.9,0
690,23919.1,0
691,32462.5,0
692,52022.8,0
693,57699.2,0
694,90280.8,0
695,92162.5,0
696,115041.8,0
697,110345.2,0
698,133951.2,0
699,128094.5,0
700,148747.1,0
701,137817.7,0
702,157699.3,0
703,108101.6,0
704,46211.4,0
705,1140,0
706,1134,0
707,511.5,0
708,244.6,3995
709,7.3,5537.8
710,0,1544.9
711,0,4874.6
712,0,8801
713,0,36.5
714,679.2,0
715,2710.8,0
716,5102.6,0
717,7095.1,0
718,82194.6,0
719,109899.5,0
720,113719.8,0
721,130035.8,0
722,128431.4,0
723,142470.2,0
724,140828.3,0
725,152553.5,0
726,148925.5,0
727,98498,0
728,44068.9,0
729,1246.7,0
730,1093.7,0
731,404.3,7.5
732,77.2,4550.5
733,0,5999.9
734,0,3050.8
735,0,9505
736,0,13878.7
737,0,207.4
738,127.8,0
739,1058.2,0
740,3004.6,0
741,4890,0
742,68524.6,0
743,88227.6,0
744,82459.9,0
745,89863.9,0
746,74976.9,0
747,74690.3,0
748,62258.9,0
749,54931.5,0
750,48769.5,0
751,35729.1,0
752,3552,0
753,0,230.5
754,0,5444.1
755,0,23666.9
756,0,52927.8
757,0,78979.6
758,0,81391.1
759,0,108189.5
760,0,112251.8
761,0,77422
762,0,26575.4
763,0,10913.2
764,0,5413.3
765,0,4979.7
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,38.7,0
775,214.4,0
776,0,0
777,0,16270.1
778,0,47033.5
779,0,57231.5
780,0,72982.7
781,0,82267.6
782,0,70305.6
783,0,72301.6
784,0,71146.5
785,0,32051.9
786,0,533.6
787,0,0
788,0,0
789,0,0
790,9240.9,0
791,18956.7,0
792,38967.4,0
793,48580.2,0
794,70800.2,0
795,72770,0
796,90301.6,0
797,91104.6,0
798,107170.8,0
799,79798.7,0
800,23148.6,0
801,395.9,0
802,64.7,15.2
803,0,505.7
804,0,5847.6
805,0,12994.6
806,0,14902.9
