Hours,HPHtgLd_W,HPClgLd_W
1,104129.3,0
2,112154,0
3,109679.1,0
4,123328.1,0
5,114701,0
6,124499.2,0
7,114342.9,0
8,116282.1,0
9,74009.6,0
10,67131.9,0
11,58061.2,1530.3
12,64118.1,15210.6
13,55806.7,29959
14,49992.6,35603
15,39321.2,26673
16,42455.4,11916.5
17,45828.4,433.8
18,70492.3,0
19,76315.1,0
20,92218.8,0
21,94205.3,0
22,111625.7,0
23,112002.5,0
24,129659.9,0
25,119881.1,0
26,130034.5,0
27,124980,0
28,141039.8,0
29,136970.8,0
30,146962.3,0
31,90300.5,0
32,62736.7,0
33,14502.8,0
34,8010.8,99.1
35,5205.5,0
36,4330.6,0
37,4495.2,0
38,1672.3,3013.2
39,1208.3,9013.6
40,2098.8,13609.1
41,3091.9,17933.5
42,6939.1,6364.1
43,16522.9,0
44,21220.9,0
45,29282.5,0
46,28647.9,0
47,64608.7,0
48,78834.9,0
49,76043.9,0
50,84427.8,0
51,79958.1,0
52,88665.4,0
53,83969.4,0
54,91426.8,0
55,53323.8,0
56,38649.3,0
57,9854.8,0
58,5399.3,158.2
59,2801.7,4689
60,841.9,10568.8
61,1617.3,912.8
62,0,16768.8
63,0,24230
64,0,28683
65,0,32825.8
66,1142.9,20948.2
67,5809,867.4
68,7743.2,0
69,16594.6,0
70,20010,0
71,50770.7,0
72,66298.3,0
73,68474.2,0
74,77987.5,0
75,77656.4,0
76,94430,0
77,96472.7,0
78,110175.9,0
79,67953.2,0
80,50840.7,0
81,13676.5,232.7
82,7297.2,4450.8
83,5362.5,15017.6
84,3911.9,51203.7
85,5100.3,48341.4
86,1786.7,69988.4
87,1528.3,74522.8
88,1660.8,72273.2
89,2716.8,56256.9
90,7669.1,35729.8
91,16915.1,9591.8
92,20799.4,6268.8
93,30397.4,26.8
94,35834.2,0
95,83958.1,0
96,106494.7,0
97,110482.8,0
98,127902.4,0
99,128600,0
100,143605.9,0
101,144538.1,0
102,159274.6,0
103,99109.3,0
104,71007.6,0
105,21346.1,2860.6
106,13086.4,16599.9
107,9013.1,24901.5
108,6503.8,47831.9
109,7531.5,53087.7
110,3468.7,71168.4
111,2979.8,79654.1
112,2918.7,78346.7
113,3793.6,59980.1
114,8771.3,40680.8
115,17366.5,14493.6
116,20536.3,9408.6
117,28213.8,415.1
118,31981.4,0
119,77337.9,0
120,98142.3,0
121,104863.7,0
122,128471.8,0
123,134108,0
124,148332,0
125,148757.4,0
126,166142.1,0
127,103360.2,0
128,73373.4,0
129,19835.8,4126.8
130,10486.3,12085.9
131,6273,37412.7
132,4437.2,72336.9
133,4391.7,69277.7
134,1540.8,92168
135,1022,99375.6
136,879.3,97540.3
137,1381.6,78969.4
138,4007.4,46274
139,10341.9,20031
140,12855.2,14384.4
141,21210.6,1398.8
142,24569.4,0
143,63009.2,0
144,81157.4,0
145,88250,0
146,103525.6,0
147,105366.5,0
148,119630.1,0
149,115171.1,0
150,126711.9,0
151,71414.4,0
152,56539.8,0
153,34688.3,0
154,24388.5,0
155,19016.5,0
156,13772.9,0
157,14634.6,0
158,14522.2,0
159,24476.8,0
160,28211.9,0
161,29967.6,0
162,36671.1,0
163,70622.2,0
164,88323.1,0
165,86508.9,0
166,96670.8,0
167,91526.4,0
168,103575.1,0
169,97690.7,0
170,108054.6,0
171,101957.1,0
172,111462.8,0
173,103482,0
174,114888.8,0
175,107124.6,0
176,116664.3,0
177,101309.5,0
178,102503.2,0
179,90065.9,0
180,91329.1,0
181,78685.6,0
182,78291.3,0
183,72475.8,0
184,89177.8,0
185,101490.3,0
186,133581.1,0
187,135926.8,0
188,155511.6,0
189,154034.5,0
190,170363.3,0
191,166935.9,0
192,183844.1,0
193,173200.7,0
194,187862.7,0
195,183784.8,0
196,202543.3,0
197,199374.8,0
198,212046.5,0
199,136515.6,0
200,103924.5,0
201,48288,0
202,29682.7,0
203,18713.5,844.9
204,14961.2,11463.6
205,15851.4,21858.1
206,7659.6,31478.3
207,5914.8,35615.6
208,6119.8,32504.8
209,7845.9,21664.2
210,16699.8,6096
211,28242.2,0
212,31464.4,0
213,42331.6,0
214,46770.5,0
215,98634.6,0
216,127649.5,0
217,134864.6,0
218,153352.4,0
219,152406.3,0
220,167476.9,0
221,161668.2,0
222,175472.8,0
223,110676.9,0
224,79363.5,0
225,23129.1,0
226,14465.5,3724.7
227,9770.6,21528.9
228,6568.7,48021.8
229,6900.6,43516.2
230,2417.1,65135.5
231,1808,69803.3
232,1571.7,67040
233,2125.4,48364.6
234,5305.6,26896.9
235,13395.6,3783.1
236,15543.6,1556.4
237,22849.9,0
238,25941.6,0
239,65026.3,0
240,83734.4,0
241,87157.6,0
242,101346.9,0
243,100458.7,0
244,112291.8,0
245,109550.8,0
246,119229.4,0
