Hours,HPHtgLd_W
1,1460.3
2,844.2
3,382
4,382
5,844.2
6,4387.1
7,14707.9
8,15632.2
9,15016
10,13167.5
11,11935.2
12,9624.6
13,8392.2
14,7468
15,6543.7
16,7468
17,8700.3
18,11473.1
19,13475.6
20,12859.4
21,11781.1
22,9624.6
23,8392.2
24,4695.2
25,1462.4
26,845.4
27,382.4
28,382.4
29,845.4
30,4395.7
31,14737.7
32,15663.8
33,15046.4
34,13194.1
35,11959.2
36,9643.8
37,8409
38,7482.8
39,6556.7
40,7482.8
41,8717.7
42,11496.1
43,13502.8
44,12885.4
45,11804.9
46,9643.8
47,8409
48,4704.4
49,1464.8
50,846.7
51,382.7
52,382.7
53,846.7
54,4404
55,14766.7
56,15694.7
57,15076
58,13220
59,11982.7
60,9662.7
61,8425.4
62,7497.4
63,6569.4
64,7497.4
65,8734.7
66,11518.7
67,13529.4
68,12910.7
69,11828
70,9662.7
71,8425.4
72,4713.3
73,1467.3
74,847.9
75,383
76,383
77,847.9
78,4412.2
79,14795.1
80,15724.9
81,15105
82,13245.4
83,12005.6
84,9681.1
85,8441.4
86,7511.5
87,6581.7
88,7511.5
89,8751.3
90,11540.7
91,13555.3
92,12935.4
93,11850.7
94,9681.1
95,8441.4
96,4722.1
97,1469.6
98,849
99,383.3
100,383.3
101,849.1
102,4420.1
103,14822.7
104,15754.3
105,15133.3
106,13270.1
107,12028
108,9699.1
109,8457
110,7525.4
111,6593.8
112,7525.4
113,8767.5
114,11562.2
115,13580.6
116,12959.6
117,11872.7
118,9699.1
119,8457
120,4730.6
121,1471.9
122,850.2
123,383.5
124,383.5
125,850.2
126,4427.9
127,14849.7
128,15783
129,15160.8
130,13294.2
131,12049.8
132,9716.6
133,8472.2
134,7538.9
135,6605.6
136,7538.9
137,8783.3
138,11583.2
139,13605.3
140,12983.1
141,11894.3
142,9716.6
143,8472.2
144,4739
145,1474.2
146,851.3
147,383.8
148,383.8
149,851.3
150,4435.4
151,14876
152,15811
153,15187.6
154,13317.7
155,12071
156,9733.6
157,8487
158,7552
159,6617
160,7552
161,8798.6
162,11603.6
163,13629.3
164,13006
165,11915.2
166,9733.6
167,8487
168,4747.1
169,1476.4
170,852.4
171,384.1
172,384.1
173,852.4
174,4442.7
175,14901.5
176,15838.1
177,15213.7
178,13340.5
179,12091.7
180,9750.2
181,8501.4
182,7564.8
183,6628.2
184,7564.8
185,8813.6
186,11623.4
187,13652.7
188,13028.3
189,11935.6
190,9750.2
191,8501.4
192,4754.9
193,1478.5
194,853.4
195,384.4
196,384.4
197,853.5
198,4449.9
199,14926.4
200,15864.6
201,15239.1
202,13362.7
203,12111.8
204,9766.3
205,8515.4
206,7577.2
207,6639
208,7577.2
209,8828.1
210,11642.7
211,13675.4
212,13050
213,11955.4
214,9766.3
215,8515.4
216,4762.6
217,1480.6
218,854.5
219,384.6
220,384.6
221,854.5
222,4456.8
223,14950.5
224,15890.2
225,15263.7
226,13384.2
227,12131.3
228,9781.9
229,8529
230,7589.2
231,6649.5
232,7589.2
233,8842.2
234,11661.4
235,13697.5
236,13071
237,11974.6
238,9781.9
239,8529
240,4770
241,1482.6
242,855.5
243,384.9
244,384.9
245,855.5
246,4463.5
247,14973.8
248,15915
249,15287.6
250,13405.1
251,12150.2
252,9797.1
253,8542.1
254,7600.9
255,6659.7
256,7600.9
257,8855.9
258,11679.5
259,13718.9
260,13091.4
261,11993.3
262,9797.1
263,8542.1
264,4777.2
265,1484.5
266,856.4
267,385.1
268,385.1
269,856.4
270,4470
271,14996.4
272,15939.1
273,15310.7
274,13425.3
275,12168.4
276,9811.8
277,8554.9
278,7612.2
279,6669.6
280,7612.2
281,8869.1
282,11697.1
283,13739.5
284,13111.1
285,12011.3
286,9811.8
287,8554.9
288,4784.2
289,1486.4
290,857.4
291,385.3
292,385.3
293,857.4
294,4476.3
295,15018.3
296,15962.4
297,15333
298,13444.9
299,12186.1
300,9826
301,8567.2
302,7623.2
303,6679.1
304,7623.2
305,8881.9
306,11714.1
307,13759.6
308,13130.2
309,12028.8
310,9826
311,8567.2
312,4791
313,1488.2
314,858.3
315,385.6
316,385.6
317,858.3
318,4482.3
319,15039.4
320,15984.8
321,15354.5
322,13463.7
323,12203.2
324,9839.7
325,8579.1
326,7633.7
327,6688.3
328,7633.7
329,8894.3
330,11730.5
331,13778.9
332,13148.6
333,12045.6
334,9839.7
335,8579.1
336,4797.5
337,1489.9
338,859.1
339,385.8
340,385.8
341,859.1
342,4488.2
343,15059.8
344,16006.5
345,15375.3
346,13481.9
347,12219.6
348,9852.9
349,8590.6
350,7643.9
351,6697.2
352,7643.9
353,8906.2
354,11746.3
355,13797.5
356,13166.3
357,12061.8
358,9852.9
359,8590.6
360,4803.8
361,1491.6
362,860
363,386
364,386
365,860
366,4493.8
367,15079.3
368,16027.3
369,15395.3
370,13499.4
371,12235.5
372,9865.6
373,8601.6
374,7653.7
375,6705.7
376,7653.7
377,8917.6
378,11761.5
379,13815.4
380,13183.4
381,12077.5
382,9865.6
383,8601.6
384,4809.8
385,1493.2
386,860.8
387,386.2
388,386.2
389,860.8
390,4499.2
391,15098.1
392,16047.3
393,15414.5
394,13516.2
395,12250.7
396,9877.8
397,8612.2
398,7663.1
399,6713.9
400,7663.1
401,8928.6
402,11776.1
403,13832.6
404,13199.8
405,12092.5
406,9877.8
407,8612.2
408,4815.6
409,1494.8
410,861.5
411,386.4
412,386.4
413,861.5
414,4504.4
415,15116.2
416,16066.5
417,15432.9
418,13532.3
419,12265.2
420,9889.5
421,8622.4
422,7672.1
423,6721.8
424,7672.1
425,8939.2
426,11790.1
427,13849.1
428,13215.5
429,12106.8
430,9889.5
431,8622.4
432,4821.2
433,1496.3
434,862.3
435,386.6
436,386.6
437,862.3
438,4509.3
439,15133.4
440,16084.8
441,15450.5
442,13547.7
443,12279.2
444,9900.6
445,8632.1
446,7680.7
447,6729.3
448,7680.7
449,8949.2
450,11803.5
451,13864.8
452,13230.6
453,12120.6
454,9900.6
455,8632.1
456,4826.5
457,1497.7
458,863
459,386.7
460,386.7
461,863
462,4514.1
463,15149.8
464,16102.3
465,15467.3
466,13562.4
467,12292.5
468,9911.3
469,8641.4
470,7688.9
471,6736.5
472,7688.9
473,8958.9
474,11816.2
475,13879.9
476,13244.9
477,12133.7
478,9911.3
479,8641.4
480,4831.5
481,1499
482,863.6
483,386.9
484,386.9
485,863.6
486,4518.6
487,15165.5
488,16118.9
489,15483.3
490,13576.4
491,12305.1
492,9921.5
493,8650.2
494,7696.7
495,6743.3
496,7696.7
497,8968
498,11828.4
499,13894.2
500,13258.6
501,12146.2
502,9921.5
503,8650.2
504,4836.4
505,1500.3
506,864.3
507,387.1
508,387.1
509,864.3
510,4522.8
511,15180.3
512,16134.7
513,15498.4
514,13589.6
515,12317.1
516,9931.1
517,8658.6
518,7704.2
519,6749.8
520,7704.2
521,8976.7
522,11839.9
523,13907.8
524,13271.5
525,12158
526,9931.1
527,8658.6
528,4841
529,1501.5
530,864.9
531,387.2
532,387.2
533,864.9
534,4526.9
535,15194.4
536,16149.6
537,15512.8
538,13602.2
539,12328.5
540,9940.2
541,8666.5
542,7711.2
543,6755.9
544,7711.2
545,8984.9
546,11850.8
547,13920.6
548,13283.8
549,12169.2
550,9940.2
551,8666.5
552,4845.3
553,1502.6
554,865.4
555,387.4
556,387.4
557,865.4
558,4530.6
559,15207.6
560,16163.7
561,15526.3
562,13614
563,12339.1
564,9948.8
565,8673.9
566,7717.8
567,6761.7
568,7717.8
569,8992.7
570,11861.1
571,13932.7
572,13295.3
573,12179.8
574,9948.8
575,8673.9
576,4849.4
577,1503.7
578,866
579,387.5
580,387.5
581,866
582,4534.2
583,15220
584,16176.9
585,15539
586,13625.1
587,12349.2
588,9956.9
589,8680.9
590,7724
591,6767.1
592,7724
593,8999.9
594,11870.7
595,13944.1
596,13306.1
597,12189.7
598,9956.9
599,8680.9
600,4853.2
601,1504.7
602,866.4
603,387.6
604,387.6
605,866.5
606,4537.5
607,15231.6
608,16189.3
609,15550.8
610,13635.5
611,12358.6
612,9964.4
613,8687.5
614,7729.8
615,6772.1
616,7729.8
617,9006.7
618,11879.7
619,13954.7
620,13316.2
621,12199
622,9964.4
623,8687.5
624,4856.8
625,1505.6
626,866.9
627,387.7
628,387.7
629,866.9
630,4540.6
631,15242.4
632,16200.7
633,15561.8
634,13645.1
635,12367.3
636,9971.4
637,8693.6
638,7735.2
639,6776.8
640,7735.2
641,9013
642,11888.1
643,13964.6
644,13325.6
645,12207.5
646,9971.4
647,8693.6
648,4860.1
649,1506.5
650,867.3
651,387.8
652,387.8
653,867.3
654,4543.5
655,15252.3
656,16211.3
657,15572
658,13654
659,12375.3
660,9977.8
661,8699.2
662,7740.2
663,6781.2
664,7740.2
665,9018.8
666,11895.8
667,13973.7
668,13334.3
669,12215.5
670,9977.8
671,8699.2
672,4863.2
673,1507.3
674,867.7
675,387.9
676,387.9
677,867.7
678,4546.1
679,15261.4
680,16221
681,15581.3
682,13662.1
683,12382.7
684,9983.8
685,8704.3
686,7744.7
687,6785.1
688,7744.7
689,9024.2
690,11902.9
691,13982
692,13342.3
693,12222.8
694,9983.8
695,8704.3
696,4866
697,1508
698,868.1
699,388
700,388
701,868.1
702,4548.5
703,15269.7
704,16229.9
705,15589.8
706,13669.6
707,12389.4
708,9989.1
709,8709
710,7748.9
711,6788.8
712,7748.9
713,9029
714,11909.4
715,13989.6
716,13349.5
717,12229.4
718,9989.1
719,8709
720,4868.5
721,1508.7
722,868.4
723,388.1
724,388.1
725,868.4
726,4550.7
727,15277.2
728,16237.8
729,15597.4
730,13676.2
731,12395.4
732,9994
733,8713.2
734,7752.6
735,6792
736,7752.6
737,9033.4
738,11915.2
739,13996.4
740,13356
741,12235.4
742,9994
743,8713.2
744,4870.8
745,1509.2
746,868.7
747,388.2
748,388.2
749,868.7
750,4552.6
751,15283.8
752,16244.9
753,15604.2
754,13682.2
755,12400.8
756,9998.3
757,8716.9
758,7755.9
759,6794.9
760,7755.9
761,9037.3
762,11920.3
763,14002.5
764,13361.8
765,12240.6
766,9998.3
767,8716.9
768,4872.9
769,1509.7
770,868.9
771,388.2
772,388.2
773,868.9
774,4554.2
775,15289.6
776,16251
777,15610.1
778,13687.3
779,12405.5
780,10002
781,8720.2
782,7758.8
783,6797.4
784,7758.8
785,9040.7
786,11924.8
787,14007.8
788,13366.9
789,12245.3
790,10002
791,8720.2
792,4874.7
793,1510.2
794,869.1
795,388.3
796,388.3
797,869.1
798,4555.6
799,15294.6
800,16256.3
801,15615.2
802,13691.8
803,12409.5
804,10005.3
805,8723
806,7761.3
807,6799.6
808,7761.3
809,9043.6
810,11928.7
811,14012.3
812,13371.2
813,12249.2
814,10005.3
815,8723
816,4876.2
817,1510.5
818,869.3
819,388.3
820,388.3
821,869.3
822,4556.8
823,15298.7
824,16260.7
825,15619.4
826,13695.4
827,12412.8
828,10007.9
829,8725.3
830,7763.4
831,6801.4
832,7763.4
833,9046
834,11931.9
835,14016.1
836,13374.8
837,12252.5
838,10007.9
839,8725.3
840,4877.5
841,1510.8
842,869.4
843,388.4
844,388.4
845,869.4
846,4557.8
847,15302
848,16264.2
849,15622.7
850,13698.4
851,12415.5
852,10010.1
853,8727.2
854,7765
855,6802.8
856,7765
857,9047.9
858,11934.4
859,14019.1
860,13377.7
861,12255.1
862,10010.1
863,8727.2
864,4878.5
865,1511.1
866,869.5
867,388.4
868,388.4
869,869.6
870,4558.5
871,15304.4
872,16266.8
873,15625.2
874,13700.6
875,12417.5
876,10011.6
