Hourly Extraction (W)
-6710.404348
-2050.360866
-2987.6804
-3308.560603
-3799.112928
-6480.149053
-9683.071466
-11375.91305
-14185.81491
-18410.22136
-23100.97857
-24709.31534
-26398.84389
-27054.38309
-26977.51095
-27207.58105
-26385.22308
-23678.38546
-22142.28388
-20779.4332
-20058.85246
-19855.18211
-19050.27979
-17782.66045
-18053.40956
-17826.52874
-17972.76831
-16913.30968
-15986.37947
-16585.98987
-20911.04061
-24273.52157
-30482.69431
-37074.20777
-41792.5598
-27588.1839
-14806.41192
-12349.54769
-10729.52573
-12873.3985
-13172.62047
-11009.86853
79.64829248
653.5198053
1210.640767
1595.458806
2109.988154
2722.651465
3144.813776
3267.512473
3393.545857
3542.173133
3158.353035
3156.366568
6024.048152
4319.646314
2062.110009
548.4139188
-414.7511984
-1450.835306
-2432.727738
-4776.275892
-4901.43617
-4792.952193
-4173.61278
-4134.208374
1416.633281
1869.003379
2369.89365
2314.83998
2592.399848
2929.061858
3030.760594
3135.959802
3519.724508
3793.623867
3482.451978
3488.916214
6325.382326
3562.423946
2208.059132
1427.173473
849.4648451
373.4886157
565.4163251
-152.8717164
80.04030173
-761.5611273
-1004.390481
-1041.005201
1957.131352
2054.389173
2743.541376
2867.589896
2983.175395
3387.615089
3681.358728
4040.177179
4332.765495
4488.936156
4169.704965
7076.597765
10584.78796
10673.16076
10529.17638
11008.70102
11596.37432
11585.63968
11276.26584
10455.28797
10827.4909
10931.44238
11162.80724
11741.0312
5187.708873
5562.462861
6083.846422
6163.662006
6372.793721
6502.423126
6562.940303
6683.092308
7003.335651
7189.992733
6473.50402
9659.831367
12414.54015
11509.75014
9538.301201
8147.568974
6940.219295
6237.58645
9198.555108
12823.57906
14315.40655
13331.75154
13189.76628
13637.51209
5381.173996
5789.39952
6422.755115
6576.856917
6994.687839
7037.356465
7152.616852
7395.63184
7960.137105
8334.499749
8521.752112
12411.26478
19527.30736
20902.54033
19192.79648
16361.38392
14695.61663
12544.81053
9850.18281
8951.974337
9728.794376
6560.430119
7473.108358
10282.95282
5995.643663
6173.999265
7257.972539
7678.642283
7877.229817
8034.426703
8376.097215
8677.321909
9269.885873
9795.238603
9972.564759
10240.35239
10305.5193
10190.96689
9287.367177
8494.187083
7461.386596
6471.980432
5567.752622
4624.828933
3563.703875
3099.702047
2641.118414
3983.90727
4939.434382
5319.123327
5415.033295
5505.618153
5576.294041
5576.309506
5715.428737
5945.960591
6254.778732
6880.944759
5390.823076
10430.37634
11623.37546
7354.786984
3301.50721
-2232.133785
-9158.381648
-14845.20254
-20202.27129
-23608.44726
-24309.05679
-25930.72061
-24798.34677
-19829.08981
-5655.426371
-2193.923302
-43.74217677
-196.7401551
743.4057232
805.2180352
1098.671765
1563.162729
1701.218266
1366.941478
1353.996761
1049.321011
-1772.739619
-4447.045025
-7753.064689
-10119.12575
-12052.02352
-18046.97582
-26936.05531
-24267.73382
-16560.82632
-11460.94374
-8860.459872
-6744.951606
1172.856373
1801.211808
2435.701421
2641.926414
2921.723337
3081.860799
3484.272635
3801.986973
3912.953576
4013.578221
3886.2386
6689.892359
9639.279359
8420.773806
7068.488775
6255.048278
4903.367284
3794.707018
3817.791228
2987.955675
3194.515925
2436.991807
2341.789098
2242.372942
3096.231148
3175.03067
3465.829493
3695.545025
3766.925714
5445.294173
6398.94749
6625.716761
6892.963889
7088.971109
6524.425298
9951.313084
14977.68561
14836.90762
13012.00049
11215.92394
9150.792009
7713.310694
6620.720047
4895.137089
4781.511702
3013.634496
2714.695358
6085.552704
4866.373674
4872.936864
4648.993766
4620.529301
4886.793485
4974.228454
5022.271744
5145.882255
5496.235175
5513.249251
4688.845132
7853.683006
9919.242467
7858.45808
6082.379927
5041.023218
3387.467831
1238.901995
-1950.903844
-4763.807432
-5602.757369
-7606.59192
-6973.790618
-2883.651591
2193.223723
3034.405795
4156.976575
4620.789673
5284.009153
5810.816056
6135.157487
6532.942461
6979.226825
7354.865361
7771.260633
12059.50746
22757.52788
24898.1498
24361.0013
21718.43401
20274.39692
19139.57535
16565.03401
15047.86308
14889.79356
9312.845718
9896.559939
10789.64765
5858.930808
6073.406765
7029.164137
7561.741815
7910.551022
8118.200045
8643.083854
9051.498236
9304.816291
9486.581513
9688.803787
9976.334513
10206.96016
10294.76651
9448.799175
9212.20295
8910.731998
8612.859751
8240.054318
7262.123485
6808.833374
6788.17344
6969.926293
8077.796146
8738.036882
9146.324216
9422.325493
9673.517023
9694.340376
9835.901021
10277.34442
10740.88505
11236.77009
11533.54012
11906.64575
12739.57185
13179.6179
13427.25388
11428.80249
10156.78645
8985.001773
8627.774231
8855.577028
8863.129229
8709.167926
8171.425729
7929.145175
9673.352581
10659.39215
11053.044
11538.6483
11921.25379
12435.31221
12335.8732
12240.12668
12613.83595
13254.75315
13327.26736
11404.551
16912.25007
23369.70512
23804.52018
21354.86292
17787.27786
14623.96254
11889.78993
9127.009929
5830.754816
4870.290912
3088.030375
2274.401778
4748.464246
3897.081635
4386.341814
5167.963393
5657.364764
6260.702391
6640.086903
7060.073505
7588.070948
7958.628864
8193.923054
7460.455877
11694.33432
17220.2194
17378.77039
13545.83167
9138.896676
4410.124729
184.4476879
-3108.196015
-6118.875235
-7839.212877
-8426.702566
-8128.109513
-6433.560009
-93.10840494
886.1592359
1712.809807
2173.337864
2679.440802
3161.390927
3495.432871
3615.391631
4012.407745
4664.744481
4709.827876
8121.312025
10395.92353
9125.660071
5302.996139
-1876.742074
-8149.559383
-12890.47377
-17383.87846
-22275.38331
-24321.54345
-27828.59971
-26265.76187
-20691.41965
-2624.250622
264.6838639
1808.352988
2318.09887
2306.715307
3028.301719
3695.859682
4087.85019
4134.238227
4073.065664
3813.838226
5043.324575
6701.006023
3763.308644
-1301.485604
