x,y
0.0,0.0
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,0.0
30.0,0.0
35.0,0.0
40.0,0.0
45.0,0.0
50.0,0.0
55.0,0.0
60.0,0.0
65.0,0.0
70.0,0.0
75.0,0.0
80.0,0.0
85.0,0.0
90.0,0.0
95.0,0.0
100.0,0.0
105.0,0.0
110.0,0.0
115.0,0.0
120.0,0.0
125.0,0.0
130.0,0.0
135.0,0.0
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
1.7857142857142858,5.0
6.817675684594078,5.0
11.84963708347387,5.0
16.88159848235366,5.0
21.913559881233454,5.0
26.945521280113248,5.0
31.97748267899304,5.0
37.009444077872836,5.0
42.04140547675263,5.0
47.07336687563242,5.0
52.10532827451222,5.0
57.13728967339201,5.0
62.169251072271805,5.0
67.20121247115159,5.0
72.23317387003138,5.0
77.26513526891117,5.0
82.29709666779095,5.0
87.32905806667074,5.0
92.36101946555053,5.0
97.39298086443031,5.0
102.39298086443034,5.0
107.72928007810876,5.0
113.06557929178717,5.0
118.40187850546559,5.0
123.738177719144,5.0
129.07447693282242,5.0
134.41077614650084,5.0
139.74707536017925,5.0
145.08337457385767,5.0
150.41967378753608,5.0
155.7559730012145,5.0
161.09227221489292,5.0
166.42857142857133,5.0
3.5714285714285716,10.0
9.191572971629991,10.0
14.811717371831412,10.0
20.431861772032832,10.0
26.05200617223425,10.0
31.67215057243567,10.0
37.29229497263709,10.0
42.912439372838506,10.0
48.532583773039924,10.0
53.53258377303993,10.0
59.35348632686614,10.0
65.17438888069235,10.0
70.99529143451855,10.0
76.81619398834475,10.0
82.63709654217095,10.0
103.790429095042,10.0
109.16013034614208,10.0
114.52983159724216,10.0
119.89953284834225,10.0
125.26923409944233,10.0
130.6389353505424,10.0
136.00863660164248,10.0
141.37833785274256,10.0
146.74803910384264,10.0
152.11774035494273,10.0
157.4874416060428,10.0
162.8571428571429,10.0
5.357142857142858,15.0
10.455760408342524,15.0
15.55437795954219,15.0
20.652995510741857,15.0
25.751613061941523,15.0
30.85023061314119,15.0
35.94884816434086,15.0
52.75788329009128,15.0
60.186191975536715,15.0
67.61450066098215,15.0
105.45458888458307,15.0
110.83770142469619,15.0
116.22081396480931,15.0
121.60392650492243,15.0
126.98703904503554,15.0
132.37015158514868,15.0
137.7532641252618,15.0
143.13637666537494,15.0
148.51948920548807,15.0
153.9026017456012,15.0
159.28571428571433,15.0
7.142857142857143,20.0
14.034554713004596,20.0
20.926252283152046,20.0
107.11874867412416,20.0
112.51825278969767,20.0
117.91775690527118,20.0
123.31726102084468,20.0
128.7167651364182,20.0
134.1162692519917,20.0
139.5157733675652,20.0
144.9152774831387,20.0
150.31478159871222,20.0
155.71428571428572,20.0
108.78290846366525,25.0
114.20290204856424,25.0
119.62289563346323,25.0
125.04288921836222,25.0
130.4628828032612,25.0
135.88287638816018,25.0
141.30286997305916,25.0
146.72286355795814,25.0
152.1428571428571,25.0
110.44706825320634,30.0
115.8934054415238,30.0
121.33974262984125,30.0
126.78607981815871,30.0
132.23241700647617,30.0
137.67875419479364,30.0
143.1250913831111,30.0
148.57142857142858,30.0
112.11122804274743,35.0
117.59269003562285,35.0
123.07415202849828,35.0
128.5556140213737,35.0
134.03707601424915,35.0
139.5185380071246,35.0
145.00000000000003,35.0
113.77538783228852,40.0
119.3060245515451,40.0
124.83666127080167,40.0
130.36729799005826,40.0
135.89793470931485,40.0
141.42857142857144,40.0
104.14153536041438,45.0
109.7608032765358,45.0
115.38007119265721,45.0
120.99933910877863,45.0
126.61860702490004,45.0
132.23787494102146,45.0
137.85714285714286,45.0
89.11893947922556,50.0
94.13747001327987,50.0
99.15600054733417,50.0
104.17453108138848,50.0
109.19306161544279,50.0
114.2115921494971,50.0
119.2301226835514,50.0
124.2486532176057,50.0
129.26718375166,50.0
134.2857142857143,50.0
74.09634359803675,55.0
79.24342924496848,55.0
84.39051489190021,55.0
89.53760053883194,55.0
94.68468618576367,55.0
99.8317718326954,55.0
104.97885747962712,55.0
110.12594312655885,55.0
115.27302877349058,55.0
120.42011442042231,55.0
125.56720006735404,55.0
130.71428571428575,55.0
59.07374771684794,60.0
64.30983305731019,60.0
69.54591839777243,60.0
74.78200373823466,60.0
80.0180890786969,60.0
85.25417441915914,60.0
90.49025975962138,60.0
95.72634510008362,60.0
100.96243044054586,60.0
106.1985157810081,60.0
111.43460112147034,60.0
116.67068646193258,60.0
121.90677180239481,60.0
127.14285714285705,60.0
25.22820121209722,65.0
44.05115183565913,65.0
49.352503618043755,65.0
54.653855400428384,65.0
59.95520718281301,65.0
65.25655896519764,65.0
70.55791074758227,65.0
75.8592625299669,65.0
81.16061431235153,65.0
86.46196609473616,65.0
91.76331787712078,65.0
97.06466965950541,65.0
102.36602144189004,65.0
107.66737322427467,65.0
112.9687250066593,65.0
118.27007678904393,65.0
123.57142857142856,65.0
28.967416226960054,70.0
26.785714285714285,75.0
32.05882352941176,75.0
37.33193277310924,75.0
42.60504201680671,75.0
47.87815126050419,75.0
53.151260504201666,75.0
58.42436974789914,75.0
63.69747899159662,75.0
68.9705882352941,75.0
74.24369747899158,75.0
79.51680672268905,75.0
84.78991596638653,75.0
90.063025210084,75.0
95.33613445378148,75.0
100.60924369747896,75.0
105.88235294117644,75.0
111.15546218487391,75.0
116.42857142857139,75.0
