Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,10,2,217,0
1,10,3,218,0
1,10,4,219,0
1,10,5,220,0
1,10,6,221,6933.06604711111
1,10,7,222,99460.7152622222
1,10,8,223,153355.320311111
1,10,9,224,97590.04236
1,10,10,225,75572.1959244444
1,10,11,226,58324.3748933333
1,10,12,227,27107.0848942222
1,10,13,228,21543.3056924445
1,10,14,229,0
1,10,15,230,-21944.5493506667
1,10,16,231,-26846.163684
1,10,17,232,-27160.834136
1,10,18,233,12674.2998066667
1,10,19,234,34262.0643866667
1,10,20,235,50241.1805777778
1,10,21,236,65188.1003155556
1,10,22,237,73411.3826222222
1,10,23,238,0
1,10,24,239,0
1,11,1,240,0
1,11,2,241,0
1,11,3,242,0
1,11,4,243,0
1,11,5,244,0
1,11,6,245,0
1,11,7,246,86810.3007511111
1,11,8,247,138299.37812
1,11,9,248,70408.5760177778
1,11,10,249,41696.1061911111
1,11,11,250,8072.58514133333
1,11,12,251,-1906.89063013333
1,11,13,252,-12989.9080862222
1,11,14,253,-23864.2237426667
1,11,15,254,-32266.8362622222
1,11,16,255,-33333.9081777778
1,11,17,256,-28793.4453746667
1,11,18,257,7430.70079377778
1,11,19,258,16430.5922377778
1,11,20,259,29677.2599244444
1,11,21,260,46644.3188311111
1,11,22,261,60608.2780622222
1,11,23,262,0
1,11,24,263,0
1,12,1,264,0
1,12,2,265,0
1,12,3,266,0
1,12,4,267,0
1,12,5,268,0
1,12,6,269,0
1,12,7,270,79698.3440977778
1,12,8,271,127704.271311111
1,12,9,272,65651.1526711111
1,12,10,273,39199.4333955556
1,12,11,274,15841.1969262222
1,12,12,275,-4769.46856933333
1,12,13,276,13448.0368471111
1,12,14,277,-9911.43052088889
1,12,15,278,-27850.3425391111
1,12,16,279,-30625.3449688889
1,12,17,280,-25635.0473173333
1,12,18,281,6017.68773866667
1,12,19,282,8435.67094088889
1,12,20,283,22427.7943057778
1,12,21,284,32530.6002622222
1,12,22,285,37846.9102177778
1,12,23,286,0
1,12,24,287,0
1,13,1,288,0
1,13,2,289,0
1,13,3,290,0
1,13,4,291,0
1,13,5,292,0
1,13,6,293,0
1,13,7,294,18665.786988
1,13,8,295,75233.1126488889
1,13,9,296,25548.0051973333
1,13,10,297,11640.0811626667
1,13,11,298,1866.1303
1,13,12,299,0
1,13,13,300,5645.54604177778
1,13,14,301,-25981.6918275555
1,13,15,302,-31033.8860977778
1,13,16,303,-28908.3878644444
1,13,17,304,-23248.4813382222
1,13,18,305,-705.791434044444
1,13,19,306,26969.2242435556
1,13,20,307,39034.7274311111
1,13,21,308,54631.6788933333
1,13,22,309,67639.9332311111
1,13,23,310,0
1,13,24,311,0
1,14,1,312,0
1,14,2,313,0
1,14,3,314,0
1,14,4,315,0
1,14,5,316,0
1,14,6,317,20573.2989288889
1,14,7,318,94228.5167155556
1,14,8,319,147449.937422222
1,14,9,320,118903.345844444
1,14,10,321,87726.4410444445
1,14,11,322,70720.40368
1,14,12,323,49318.0065777778
1,14,13,324,41806.594
1,14,14,325,35245.0248933333
1,14,15,326,31750.7380355556
1,14,16,327,29839.3282488889
1,14,17,328,32946.76124
1,14,18,329,0
1,14,19,330,0
1,14,20,331,0
1,14,21,332,0
1,14,22,333,0
1,14,23,334,0
1,14,24,335,0
1,15,1,336,0
1,15,2,337,0
1,15,3,338,0
1,15,4,339,0
1,15,5,340,0
1,15,6,341,0
1,15,7,342,0
1,15,8,343,0
1,15,9,344,0
1,15,10,345,0
1,15,11,346,0
1,15,12,347,0
1,15,13,348,0
1,15,14,349,0
1,15,15,350,0
1,15,16,351,0
1,15,17,352,0
1,15,18,353,0
1,15,19,354,0
1,15,20,355,0
1,15,21,356,0
1,15,22,357,0
1,15,23,358,0
1,15,24,359,0
1,16,1,360,0
1,16,2,361,0
1,16,3,362,0
1,16,4,363,0
1,16,5,364,0
1,16,6,365,0
1,16,7,366,0
1,16,8,367,0
1,16,9,368,0
1,16,10,369,0
1,16,11,370,0
1,16,12,371,0
1,16,13,372,0
1,16,14,373,0
1,16,15,374,0
1,16,16,375,0
1,16,17,376,0
1,16,18,377,0
1,16,19,378,0
1,16,20,379,0
1,16,21,380,0
1,16,22,381,0
1,16,23,382,0
1,16,24,383,0
1,17,1,384,0
1,17,2,385,0
1,17,3,386,0
1,17,4,387,0
1,17,5,388,0
1,17,6,389,0
1,17,7,390,63225.1100133333
1,17,8,391,116162.251742222
1,17,9,392,58147.3599422222
1,17,10,393,46259.2233911111
1,17,11,394,34594.9931688889
1,17,12,395,22900.2249368889
1,17,13,396,23444.0476906667
1,17,14,397,8618.43008577778
1,17,15,398,6449.557328
1,17,16,399,3203.32585866667
1,17,17,400,934.395692844444
1,17,18,401,23198.3661782222
1,17,19,402,43016.3915466667
1,17,20,403,46922.7363866667
1,17,21,404,51682.2112311111
1,17,22,405,54425.9429733333
1,17,23,406,0
1,17,24,407,0
1,18,1,408,0
1,18,2,409,0
1,18,3,410,0
1,18,4,411,0
1,18,5,412,0
1,18,6,413,0
1,18,7,414,27703.4259911111
1,18,8,415,80129.7447733333
1,18,9,416,24337.2991302222
1,18,10,417,11511.2177951111
1,18,11,418,-780.0556536
1,18,12,419,3080.32391333333
1,18,13,420,4063.98779066667
1,18,14,421,-17188.708588
1,18,15,422,-25987.611864
1,18,16,423,-35929.3459377778
1,18,17,424,-38302.6357955556
1,18,18,425,0
1,18,19,426,0
1,18,20,427,9146.544228
1,18,21,428,15054.7405995556
1,18,22,429,19760.3196666667
1,18,23,430,0
1,18,24,431,0
1,19,1,432,0
1,19,2,433,0
1,19,3,434,0
1,19,4,435,0
1,19,5,436,0
1,19,6,437,0
1,19,7,438,-13526.3161408889
1,19,8,439,16871.8401026667
1,19,9,440,0
1,19,10,441,-27126.5741231111
1,19,11,442,-13303.9337817778
1,19,12,443,-16353.4852284444
1,19,13,444,-20572.1559515556
1,19,14,445,-21302.0495537778
1,19,15,446,-40322.7749644445
1,19,16,447,-75202.3401822222
1,19,17,448,-79782.7485777778
1,19,18,449,-41123.7383111111
1,19,19,450,-6700.16243511111
