x,y
0.0,0.0
0.0,11.11111111111111
0.0,22.22222222222222
0.0,33.33333333333333
0.0,44.44444444444444
0.0,55.55555555555556
0.0,66.66666666666666
0.0,77.77777777777777
10.0,0.0
10.0,11.11111111111111
10.0,22.22222222222222
10.0,33.33333333333333
10.0,44.44444444444444
10.0,55.55555555555556
10.0,66.66666666666666
10.0,77.77777777777777
20.0,0.0
20.0,11.11111111111111
20.0,22.22222222222222
20.0,33.33333333333333
20.0,44.44444444444444
20.0,55.55555555555556
20.0,66.66666666666666
20.0,77.77777777777777
30.0,0.0
30.0,11.11111111111111
30.0,22.22222222222222
30.0,33.33333333333333
30.0,44.44444444444444
30.0,55.55555555555556
30.0,66.66666666666666
30.0,77.77777777777777
40.0,0.0
40.0,11.11111111111111
40.0,22.22222222222222
40.0,33.33333333333333
40.0,44.44444444444444
40.0,55.55555555555556
40.0,66.66666666666666
40.0,77.77777777777777
50.0,0.0
50.0,11.11111111111111
50.0,22.22222222222222
50.0,33.33333333333333
50.0,44.44444444444444
50.0,55.55555555555556
50.0,66.66666666666666
50.0,77.77777777777777
60.0,0.0
60.0,11.11111111111111
60.0,22.22222222222222
60.0,33.33333333333333
60.0,44.44444444444444
60.0,55.55555555555556
60.0,66.66666666666666
60.0,77.77777777777777
70.0,0.0
70.0,11.11111111111111
70.0,22.22222222222222
70.0,33.33333333333333
70.0,44.44444444444444
70.0,55.55555555555556
70.0,66.66666666666666
70.0,77.77777777777777
80.0,0.0
80.0,11.11111111111111
80.0,22.22222222222222
80.0,33.33333333333333
80.0,44.44444444444444
80.0,55.55555555555556
80.0,66.66666666666666
80.0,77.77777777777777
90.0,0.0
90.0,11.11111111111111
90.0,22.22222222222222
90.0,33.33333333333333
90.0,44.44444444444444
90.0,55.55555555555556
90.0,66.66666666666666
90.0,77.77777777777777
100.0,0.0
100.0,11.11111111111111
100.0,22.22222222222222
100.0,33.33333333333333
100.0,44.44444444444444
100.0,55.55555555555556
100.0,66.66666666666666
100.0,77.77777777777777
