Time (hr),Time (month),Q (Rejection) (W) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
204.09373264643273,0.2743195331269257,0,0,25.590753196164822,25.615687876604664
204.09373264643273,0.2743195331269257,-175980.410088889,-16.313970711013194,18.0589705573003,17.92941608286283
205.9062673535673,0.2767557356902786,0,0,18.0589705573003,17.92941608286283
205.9062673535673,0.2767557356902786,-11541.921867175564,-1.0699746363518297,18.017977426549056,16.042652190186534
731.3719284165902,0.9830267855061696,-11541.921867175564,-1.0699746363518297,18.017977426549056,16.042652190186534
731.3719284165902,0.9830267855061696,101654.6456,9.423724550472185,18.00323431619392,17.873679841756452
734.6280715834098,0.9874033220207121,101654.6456,9.423724550472185,18.00323431619392,17.873679841756452
734.6280715834098,0.9874033220207121,-11541.921867175564,-1.0699746363518297,18.372149874583368,19.51319157772375
744.0,1.0,-11541.921867175564,-1.0699746363518297,18.372149874583368,19.51319157772375
744.0,1.0,1042.187978999826,0.09661430017230468,18.151008108688238,18.02145363425077
1044.1246901505906,1.4466141222479028,1042.187978999826,0.09661430017230468,18.151008108688238,18.02145363425077
1044.1246901505906,1.4466141222479028,-180003.397231111,-16.686915031212482,18.27390566387116,18.285603899003767
1045.8753098494092,1.4492192110854303,-180003.397231111,-16.686915031212482,18.27390566387116,18.285603899003767
1045.8753098494092,1.4492192110854303,1042.187978999826,0.09661430017230468,18.261728664446814,16.24124665169322
1402.3851395048025,1.9797397909297656,1042.187978999826,0.09661430017230468,18.261728664446814,16.24124665169322
1402.3851395048025,1.9797397909297656,168583.588315556,15.628260672584558,18.292367429262097,18.304065664394702
1407.6148604951973,1.9875221138321388,168583.588315556,15.628260672584558,18.292367429262097,18.304065664394702
1407.6148604951973,1.9875221138321388,1042.187978999826,0.09661430017230468,19.247262739574424,21.139560957700315
1416.0,2.0,1042.187978999826,0.09661430017230468,19.247262739574424,21.139560957700315
1416.0,2.0,30089.359000868004,2.7893838933854984,18.65010712986686,18.661805364999466
1956.4376809081639,2.7263947324034463,30089.359000868004,2.7893838933854984,18.65010712986686,18.661805364999466
1956.4376809081639,2.7263947324034463,-44323.4887022222,-4.10893517143606,19.02239277964815,19.360136453221617
1957.5623190918363,2.7279063428653716,-44323.4887022222,-4.10893517143606,19.02239277964815,19.360136453221617
1957.5623190918363,2.7279063428653716,30089.359000868004,2.7893838933854984,19.173890055472267,18.676372713894846
2121.770060933697,2.9486156732979802,30089.359000868004,2.7893838933854984,19.173890055472267,18.676372713894846
2121.770060933697,2.9486156732979802,249857.189635556,23.162594470552886,19.04973746530591,19.387481138879377
2128.229939066303,2.9572983051966437,249857.189635556,23.162594470552886,19.04973746530591,19.387481138879377
2128.229939066303,2.9572983051966437,30089.359000868004,2.7893838933854984,20.533938455200783,23.338507508792798
2160.0,3.0,30089.359000868004,2.7893838933854984,20.533938455200783,23.338507508792798
2160.0,3.0,51543.218383189254,4.778228182500396,19.21515829739091,19.552901970964378
2292.499877110605,3.184027607098063,51543.218383189254,4.778228182500396,19.21515829739091,19.552901970964378
2292.499877110605,3.184027607098063,-45405.2141733333,-4.20921472893993,19.519972866228205,20.098529422518936
2293.500122889395,3.1854168373463816,-45405.2141733333,-4.20921472893993,19.519972866228205,20.098529422518936
2293.500122889395,3.1854168373463816,51543.218383189254,4.778228182500396,19.76953430049964,19.259874927767598
2554.0510476123436,3.5472931216838104,51543.218383189254,4.778228182500396,19.76953430049964,19.259874927767598
2554.0510476123436,3.5472931216838104,254221.01848,23.567135952870007,19.6150060770085,20.19356263329923
2559.948952387656,3.5554846560939666,254221.01848,23.567135952870007,19.6150060770085,20.19356263329923
2559.948952387656,3.5554846560939666,51543.218383189254,4.778228182500396,20.896855559163335,23.750407230986795
2880.0,4.0,51543.218383189254,4.778228182500396,20.896855559163335,23.750407230986795
2880.0,4.0,87736.40430367907,8.133457180699018,19.700025319136067,20.2785818754268
3108.5,4.307123655913978,87736.40430367907,8.133457180699018,19.700025319136067,20.2785818754268
3108.5,4.307123655913978,-300.107748488889,-0.02782098880507705,20.50227414765982,21.48708793165557
3109.5,4.308467741935484,-300.107748488889,-0.02782098880507705,20.50227414765982,21.48708793165557
3109.5,4.308467741935484,87736.40430367907,8.133457180699018,20.729212115673864,20.72584349976418
3585.7301110870985,4.948561977267605,87736.40430367907,8.133457180699018,20.729212115673864,20.72584349976418
3585.7301110870985,4.948561977267605,337116.7684,31.251848334090553,20.704475853598684,21.689289637594435
3592.269888912902,4.957352001227019,337116.7684,31.251848334090553,20.704475853598684,21.689289637594435
3592.269888912902,4.957352001227019,87736.40430367907,8.133457180699018,22.402800428050007,26.18683104762375
3624.0,5.0,87736.40430367907,8.133457180699018,22.402800428050007,26.18683104762375
3624.0,5.0,125928.6763855427,11.674008130749959,20.89843115532412,21.88324493931987
4256.854442096999,5.878964502912499,125928.6763855427,11.674008130749959,20.89843115532412,21.88324493931987
4256.854442096999,5.878964502912499,357063.188222222,33.100947950377034,21.81888692991354,23.232397060503907
4265.145557903002,5.890479941531947,357063.188222222,33.100947950377034,21.81888692991354,23.232397060503907
4265.145557903002,5.890479941531947,125928.6763855427,11.674008130749959,23.63555848716167,27.643481450377614
4344.0,6.0,125928.6763855427,11.674008130749959,23.63555848716167,27.643481450377614
4344.0,6.0,133125.5447775143,12.341181824107856,21.941254727163304,23.354764857753672
4472.497437483972,6.172711609521468,133125.5447775143,12.341181824107856,21.941254727163304,23.354764857753672
4472.497437483972,6.172711609521468,372182.726844444,34.5025795872301,22.066386111362274,23.560678845824633
4481.502562516029,6.184815272198963,372182.726844444,34.5025795872301,22.066386111362274,23.560678845824633
4481.502562516029,6.184815272198963,133125.5447775143,12.341181824107856,24.032303613791935,28.209938684097224
5088.0,7.0,133125.5447775143,12.341181824107856,24.032303613791935,28.209938684097224
5088.0,7.0,149899.84183191787,13.8962150843733,22.268594286434165,23.762887020896525
5241.594446769103,7.206444148883204,149899.84183191787,13.8962150843733,22.268594286434165,23.762887020896525
5241.594446769103,7.206444148883204,379231.087066667,35.155986078145396,22.638494001904178,24.32107299093924
5248.405553230896,7.215598861869483,379231.087066667,35.155986078145396,22.638494001904178,24.32107299093924
5248.405553230896,7.215598861869483,149899.84183191787,13.8962150843733,24.243820580556992,28.50057129683048
