ln(t/ts),H: 122.58 m,H: 122.58 m bhw
-49.03059402198002,-1.747474766349216,1.3322266533018279e-05
-47.6364399650169,-1.7424617982817308,1.6222984100382057e-05
-46.24228590805378,-1.7374488302142452,1.912370166774582e-05
-44.848131851090656,-1.73243586214676,2.2024419235109598e-05
-43.45397779412753,-1.7274228940792746,2.4925136802473378e-05
-42.05982373716441,-1.7224099260117893,2.7825854369837155e-05
-40.66566968020129,-1.7173969579443038,3.072657193720092e-05
-39.271515623238166,-1.7123839898768185,3.36272895045647e-05
-37.87736156627504,-1.7073710218093332,3.652800707192847e-05
-36.483207509311924,-1.7023580537418477,3.942872463929224e-05
-35.0890534523488,-1.6973450856743624,4.232944220665601e-05
-33.694899395385676,-1.692332117606877,4.523015977401979e-05
-32.30074533842256,-1.6873191495393918,4.813087734138355e-05
-30.906591281459434,-1.6823061814719062,5.103159490874733e-05
-29.512437224496313,-1.677293213404421,5.3932312476111106e-05
-28.11828316753319,-1.6722802453369356,5.683303004347488e-05
-26.72412911057007,-1.6672672772694501,5.973374761083865e-05
-25.329975053606947,-1.6622543092019648,6.263446517820242e-05
-23.935820996643823,-1.6572413411344795,6.55351827455662e-05
-22.541666939680702,-1.6522283730669942,6.843590031292998e-05
-21.147512882717578,-1.6472154049995087,7.133661788029375e-05
-19.753358825754457,-1.6422024369320234,7.423733544765753e-05
-18.359204768791336,-1.637189468864538,7.713805301502129e-05
-16.965050711828212,-1.6321765007970526,8.003877058238507e-05
-15.570896654865095,-1.4572736463776224,0.0006089057718370336
-14.17674259790197,-0.9500196142254157,0.019841611997276964
-12.782588540938846,-0.0862351044394319,0.25056430103851485
-11.388434483975722,0.8859434459822924,0.870147131449683
-9.994280427012605,1.7170220648029715,1.6088517173215648
-8.60012637004948,2.456868121174805,2.329095056917621
-8.5,2.5270694003940277,2.5270694003940277
-7.8,2.8739142764385464,2.8739142764385464
-7.2,3.1707084568692934,3.1707084568692934
-6.5,3.5157672959487645,3.5157672959487645
-5.9,3.8111465722627953,3.8111465722627953
-5.2,4.178217261893048,4.178217261893048
-4.5,4.683738714966916,4.683738714966916
-3.963,5.3156625400049275,5.3156625400049275
-3.27,6.709367881565168,6.709367881565168
-2.864,7.9753498932944,7.9753498932944
-2.577,9.133269095645186,9.133269095645186
-2.171,11.198538552513815,11.198538552513815
-1.884,12.992584060723544,12.992584060723544
-1.191,18.296653526131273,18.296653526131273
-0.497,24.449473577596837,24.449473577596837
-0.274,26.44822697210065,26.44822697210065
-0.051,28.317444427593635,28.317444427593635
0.196,30.197811452815436,30.197811452815436
0.419,31.667810456536117,31.667810456536117
0.642,32.93492753892979,32.93492753892979
0.873,34.01198226769027,34.01198226769027
1.112,34.89492480264734,34.89492480264734
1.335,35.5456143468706,35.5456143468706
1.679,36.2719694084413,36.2719694084413
2.028,36.76515604698237,36.76515604698237
2.275,37.009605511781096,37.009605511781096
3.003,37.417866176640814,37.417866176640814
